# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.19
2                       0.19
4                       0.19
8                       0.19
16                      0.18
32                      0.22
64                      0.22
128                     0.31
256                     0.33
512                     0.39
1024                    0.49
2048                    0.68
4096                    1.08
8192                    1.82
16384                   2.82
32768                   4.47
65536                   7.64
131072                 13.85
262144                 14.65
524288                 26.55
1048576                56.92
2097152               151.64
4194304               386.94
