Processes,Latency
2,0.20
4,0.22
6,0.34
8,0.58
10,0.89
12,0.88
14,0.83
16,1.22
18,2.26
20,2.43
22,2.32
24,2.34
26,2.15
28,2.15
30,2.60
32,2.62
34,4.96
36,4.93
38,4.53
40,4.66
42,5.12
44,3.86
46,4.06
48,4.20
