Processes,Latency
2,0.18
4,0.21
6,0.38
8,0.69
10,0.91
12,0.89
14,0.94
16,1.52
18,2.33
20,2.34
22,2.38
24,2.71
26,2.34
28,2.55
30,3.03
32,3.66
34,5.15
36,4.65
38,4.30
40,4.42
42,4.59
44,4.51
46,4.90
48,5.04
