Processes,Latency
2,1.03
4,0.40
6,0.50
8,1.83
10,2.09
12,2.03
14,1.93
16,2.08
18,2.39
20,2.34
22,2.28
24,2.21
26,2.23
28,2.18
30,2.14
32,2.34
34,2.85
36,2.72
38,2.66
40,2.65
42,2.58
44,2.55
46,2.53
48,2.59
