Processes,Latency
2,0.38
4,0.34
6,0.65
8,1.20
10,1.45
12,1.48
14,1.53
16,1.81
18,2.16
20,2.53
22,2.34
24,2.60
26,2.51
28,2.46
30,2.55
32,3.73
34,5.38
36,5.16
38,5.17
40,5.22
42,5.23
44,5.19
46,5.20
48,5.35
