Processes,Latency
2,1.03
4,0.40
6,0.52
8,1.81
10,2.07
12,1.99
14,1.94
16,2.05
18,2.40
20,2.34
22,2.20
24,2.18
26,2.21
28,2.21
30,2.14
32,2.33
34,2.75
36,2.72
38,2.61
40,2.71
42,2.54
44,2.62
46,2.50
48,2.52
