Processes,Size,Latency
2,2,0.18
2,4,0.18
2,8,0.18
2,16,0.20
2,32,0.22
2,64,0.23
2,128,0.30
2,256,0.30
2,512,0.32
2,1024,0.41
2,2048,0.53
2,4096,0.83
2,8192,1.31
2,16384,3.13
2,32768,5.24
2,65536,7.14
2,131072,9.87
2,262144,15.44
2,524288,29.46
2,1048576,63.33
4,2,0.20
4,4,0.20
4,8,0.22
4,16,0.20
4,32,0.26
4,64,0.25
4,128,0.44
4,256,0.47
4,512,0.52
4,1024,0.71
4,2048,1.04
4,4096,1.63
4,8192,2.51
4,16384,5.83
4,32768,8.85
4,65536,14.80
4,131072,26.64
4,262144,53.69
4,524288,104.01
4,1048576,203.96
6,2,0.29
6,4,0.30
6,8,0.30
6,16,0.31
6,32,0.42
6,64,0.42
6,128,0.69
6,256,0.72
6,512,0.77
6,1024,1.06
6,2048,1.48
6,4096,2.35
6,8192,3.61
6,16384,6.73
6,32768,11.78
6,65536,22.57
6,131072,43.69
6,262144,86.54
6,524288,173.90
6,1048576,327.16
8,2,0.67
8,4,0.67
8,8,0.64
8,16,0.66
8,32,0.91
8,64,0.81
8,128,1.36
8,256,1.33
8,512,1.37
8,1024,1.69
8,2048,2.39
8,4096,3.57
8,8192,4.99
8,16384,8.56
8,32768,15.13
8,65536,29.82
8,131072,57.79
8,262144,115.40
8,524288,212.68
8,1048576,448.39
10,2,0.81
10,4,0.88
10,8,0.85
10,16,0.87
10,32,1.05
10,64,0.95
10,128,1.55
10,256,1.56
10,512,1.58
10,1024,2.13
10,2048,2.81
10,4096,4.41
10,8192,5.96
10,16384,10.05
10,32768,18.37
10,65536,35.57
10,131072,69.92
10,262144,141.86
10,524288,289.28
10,1048576,540.14
12,2,0.82
12,4,0.86
12,8,0.89
12,16,0.90
12,32,1.13
12,64,1.08
12,128,1.79
12,256,1.85
12,512,1.79
12,1024,2.52
12,2048,3.21
12,4096,4.72
12,8192,6.87
12,16384,11.93
12,32768,21.43
12,65536,42.33
12,131072,84.54
12,262144,167.39
12,524288,289.81
12,1048576,587.75
14,2,0.90
14,4,0.92
14,8,0.90
14,16,0.96
14,32,1.18
14,64,1.15
14,128,2.06
14,256,2.18
14,512,2.16
14,1024,3.09
14,2048,3.90
14,4096,5.70
14,8192,8.45
