Processes,Latency
2,0.39
4,0.33
6,0.66
8,1.14
10,1.43
12,1.47
14,1.57
16,1.79
18,2.09
20,2.21
22,2.34
24,2.54
26,2.52
28,2.56
30,2.43
32,3.67
34,5.66
36,5.34
38,5.11
40,5.15
42,5.23
44,5.29
46,5.23
48,5.26
