Processes,Latency
2,0.20
4,0.48
6,0.90
8,1.28
10,1.62
12,1.97
14,2.10
16,3.12
18,3.98
20,4.71
22,5.82
24,6.15
26,5.47
28,5.74
30,6.19
32,7.30
34,8.56
36,8.43
38,8.25
40,8.52
42,8.81
44,9.22
46,9.76
48,10.05
