Processes,Size,Latency
2,2,0.20
2,4,0.19
2,8,0.19
2,16,0.21
2,32,0.28
2,64,0.25
2,128,0.31
2,256,0.33
2,512,0.36
2,1024,0.41
2,2048,0.58
2,4096,0.86
2,8192,1.62
2,16384,2.87
2,32768,5.18
2,65536,10.10
2,131072,19.04
2,262144,24.49
2,524288,48.26
2,1048576,115.31
4,2,0.22
4,4,0.23
4,8,0.20
4,16,0.21
4,32,0.28
4,64,0.28
4,128,0.48
4,256,0.48
4,512,0.56
4,1024,0.73
4,2048,1.07
4,4096,1.77
4,8192,2.85
4,16384,5.52
4,32768,9.88
4,65536,18.50
4,131072,35.65
4,262144,49.72
4,524288,102.39
4,1048576,224.89
6,2,0.32
6,4,0.33
6,8,0.33
6,16,0.35
6,32,0.46
6,64,0.39
6,128,0.68
6,256,0.74
6,512,0.82
6,1024,1.07
6,2048,1.57
6,4096,2.47
6,8192,3.99
6,16384,7.29
6,32768,14.16
6,65536,25.84
6,131072,50.28
6,262144,67.25
6,524288,146.28
6,1048576,355.94
8,2,0.67
8,4,0.64
8,8,0.67
8,16,0.65
8,32,0.80
8,64,0.79
8,128,1.30
8,256,1.34
8,512,1.33
8,1024,1.86
8,2048,2.41
8,4096,3.48
8,8192,5.40
8,16384,9.63
8,32768,17.75
8,65536,33.74
8,131072,72.05
8,262144,91.11
8,524288,184.29
8,1048576,475.48
10,2,0.86
10,4,0.86
10,8,0.86
10,16,0.85
10,32,1.04
10,64,0.98
10,128,1.54
10,256,1.71
10,512,1.75
10,1024,2.31
10,2048,2.92
10,4096,4.28
10,8192,6.41
10,16384,11.42
10,32768,22.17
10,65536,40.44
10,131072,88.37
10,262144,115.05
10,524288,216.82
10,1048576,608.89
12,2,0.94
12,4,0.93
12,8,0.85
12,16,0.86
12,32,1.14
12,64,1.05
12,128,1.92
12,256,1.82
12,512,1.96
12,1024,2.71
12,2048,3.39
12,4096,4.82
12,8192,7.41
12,16384,13.36
12,32768,24.78
12,65536,47.84
12,131072,106.58
12,262144,125.37
12,524288,260.07
12,1048576,817.77
14,2,0.96
14,4,0.94
14,8,0.91
14,16,0.94
14,32,1.38
14,64,1.20
14,128,2.04
14,256,2.13
14,512,2.35
14,1024,3.03
14,2048,4.05
14,4096,5.85
14,8192,9.06
14,16384,16.41
14,32768,30.83
14,65536,60.27
14,131072,136.98
14,262144,144.23
14,524288,301.65
14,1048576,913.03
16,2,1.75
16,4,1.72
16,8,1.73
16,16,1.73
16,32,1.90
16,64,1.95
16,128,3.31
16,256,3.38
16,512,3.77
16,1024,4.71
16,2048,5.71
16,4096,7.82
16,8192,11.83
16,16384,20.90
16,32768,38.91
16,65536,78.85
16,131072,164.29
16,262144,163.92
16,524288,344.10
16,1048576,1038.13
18,2,2.27
18,4,2.35
18,8,2.23
18,16,2.26
18,32,2.72
18,64,2.56
18,128,3.86
18,256,3.98
18,512,4.43
18,1024,5.63
18,2048,6.84
18,4096,9.38
18,8192,13.95
18,16384,24.97
18,32768,47.30
18,65536,95.37
18,131072,197.86
18,262144,179.71
18,524288,382.40
18,1048576,1145.97
20,2,2.47
20,4,2.48
20,8,2.79
20,16,2.50
20,32,2.92
20,64,2.96
20,128,4.61
20,256,4.75
20,512,5.25
20,1024,6.69
20,2048,8.04
20,4096,11.04
20,8192,16.38
20,16384,29.60
20,32768,55.65
20,65536,113.35
20,131072,236.50
20,262144,197.53
20,524288,395.47
20,1048576,1267.49
22,2,2.52
22,4,2.59
22,8,2.69
22,16,2.59
22,32,3.04
22,64,3.09
22,128,5.16
22,256,5.27
22,512,5.95
22,1024,7.58
22,2048,9.29
22,4096,12.49
22,8192,18.85
22,16384,34.09
22,32768,64.16
22,65536,133.03
22,131072,265.50
22,262144,213.75
22,524288,428.24
22,1048576,1389.39
24,2,2.91
24,4,2.86
24,8,2.78
24,16,2.76
24,32,3.42
24,64,3.27
24,128,5.90
24,256,6.12
24,512,6.81
24,1024,8.68
24,2048,10.70
24,4096,14.27
24,8192,21.36
24,16384,39.01
24,32768,73.69
24,65536,152.36
24,131072,301.90
24,262144,233.97
24,524288,469.17
24,1048576,1528.55
26,2,2.80
26,4,2.55
26,8,2.88
26,16,2.50
26,32,3.18
26,64,3.06
26,128,5.93
26,256,6.14
26,512,6.97
26,1024,9.06
26,2048,11.11
26,4096,15.32
26,8192,23.24
26,16384,42.31
26,32768,82.43
26,65536,167.69
26,131072,331.19
26,262144,256.28
26,524288,508.94
26,1048576,1657.80
28,2,2.74
28,4,2.80
28,8,2.75
28,16,2.62
28,32,3.23
28,64,3.28
28,128,6.30
28,256,6.44
28,512,7.49
28,1024,9.68
28,2048,12.07
28,4096,16.75
28,8192,25.19
28,16384,46.78
28,32768,89.61
28,65536,182.24
28,131072,363.05
28,262144,277.32
28,524288,557.11
28,1048576,1809.04
30,2,3.41
30,4,3.00
30,8,3.13
30,16,3.03
30,32,3.83
30,64,3.68
30,128,7.00
30,256,7.25
30,512,8.37
30,1024,10.57
30,2048,13.21
30,4096,18.16
30,8192,27.16
30,16384,50.85
30,32768,98.80
30,65536,202.04
30,131072,390.53
30,262144,306.97
30,524288,609.08
30,1048576,1901.93
32,2,3.55
32,4,3.80
32,8,3.52
32,16,3.54
32,32,4.11
32,64,4.10
32,128,7.75
32,256,8.09
32,512,9.13
32,1024,11.66
32,2048,14.44
32,4096,19.74
32,8192,29.99
32,16384,55.26
32,32768,108.10
32,65536,218.37
32,131072,434.48
32,262144,342.29
32,524288,664.92
32,1048576,2112.12
34,2,5.51
34,4,4.97
34,8,5.11
34,16,5.02
34,32,5.63
34,64,5.51
34,128,8.93
34,256,9.39
34,512,10.51
34,1024,12.96
34,2048,16.27
34,4096,21.17
34,8192,31.60
34,16384,58.95
34,32768,115.32
34,65536,232.51
34,131072,460.34
34,262144,363.41
34,524288,718.53
34,1048576,2219.22
36,2,5.07
36,4,4.79
36,8,4.79
36,16,4.78
36,32,5.68
36,64,5.47
36,128,9.10
36,256,9.40
36,512,10.55
36,1024,13.36
36,2048,16.18
36,4096,22.01
36,8192,32.53
36,16384,61.82
36,32768,122.07
36,65536,243.35
36,131072,483.69
36,262144,385.00
36,524288,768.36
36,1048576,2323.35
38,2,4.81
38,4,4.30
38,8,4.42
38,16,4.35
38,32,4.97
38,64,4.97
38,128,8.77
38,256,9.16
38,512,10.31
38,1024,13.19
38,2048,16.96
38,4096,22.72
38,8192,34.15
38,16384,64.94
38,32768,130.01
38,65536,254.90
38,131072,512.34
38,262144,409.06
38,524288,825.91
38,1048576,2452.33
40,2,4.54
40,4,4.23
40,8,4.27
40,16,4.21
40,32,4.93
40,64,4.98
40,128,8.85
40,256,9.37
40,512,10.59
40,1024,13.58
40,2048,17.06
40,4096,24.09
40,8192,36.34
40,16384,66.75
40,32768,133.82
40,65536,266.97
40,131072,540.76
40,262144,432.80
40,524288,888.31
40,1048576,2574.04
42,2,4.78
42,4,4.50
42,8,4.60
42,16,4.57
42,32,5.15
42,64,5.34
42,128,9.37
42,256,9.73
42,512,10.88
42,1024,14.00
42,2048,17.65
42,4096,24.60
42,8192,36.86
42,16384,68.92
42,32768,139.28
42,65536,279.35
42,131072,566.07
42,262144,464.51
42,524288,945.09
42,1048576,2667.53
44,2,4.82
44,4,4.53
44,8,4.60
44,16,4.60
44,32,5.18
44,64,5.25
44,128,9.46
44,256,10.02
44,512,11.24
44,1024,14.42
44,2048,18.81
44,4096,25.44
44,8192,38.01
44,16384,72.11
44,32768,145.31
44,65536,290.43
44,131072,624.71
44,262144,499.54
44,524288,988.05
44,1048576,2812.07
46,2,5.07
46,4,5.06
46,8,5.08
46,16,4.85
46,32,5.62
46,64,5.76
46,128,10.00
46,256,10.42
46,512,11.68
46,1024,15.10
46,2048,19.59
46,4096,26.51
46,8192,39.72
46,16384,74.29
46,32768,154.58
46,65536,307.33
46,131072,654.04
