Processes,Size,Latency
2,2,0.37
2,4,0.36
2,8,0.37
2,16,0.37
2,32,0.53
2,64,0.48
2,128,0.76
2,256,0.82
2,512,0.90
2,1024,1.05
2,2048,1.39
2,4096,2.03
2,8192,3.29
2,16384,3.67
2,32768,5.93
2,65536,7.52
2,131072,10.11
2,262144,16.36
2,524288,29.45
2,1048576,60.40
4,2,0.81
4,4,0.82
4,8,0.78
4,16,0.82
4,32,1.41
4,64,1.23
4,128,1.90
4,256,1.88
4,512,2.16
4,1024,2.56
4,2048,3.51
4,4096,5.34
4,8192,8.44
4,16384,16.88
4,32768,27.20
4,65536,42.92
4,131072,76.04
4,262144,138.11
4,524288,257.36
4,1048576,496.30
6,2,1.48
6,4,1.44
6,8,1.49
6,16,1.46
6,32,2.08
6,64,2.06
6,128,3.12
6,256,3.18
6,512,3.63
6,1024,4.27
6,2048,5.78
6,4096,8.50
6,8192,13.25
6,16384,25.54
6,32768,40.16
6,65536,68.27
6,131072,128.07
6,262144,242.99
6,524288,485.87
6,1048576,957.49
8,2,2.17
8,4,2.19
8,8,2.19
8,16,2.52
8,32,3.14
8,64,3.12
8,128,4.54
8,256,4.59
8,512,5.23
8,1024,6.13
8,2048,7.98
8,4096,11.27
8,8192,18.16
8,16384,34.67
8,32768,54.94
8,65536,101.26
8,131072,173.94
8,262144,328.63
8,524288,638.11
8,1048576,1290.86
10,2,3.05
10,4,3.23
10,8,3.10
10,16,3.10
10,32,4.74
10,64,4.11
10,128,6.07
10,256,6.20
10,512,7.08
10,1024,8.13
10,2048,10.84
10,4096,14.77
10,8192,23.08
10,16384,43.42
10,32768,68.90
10,65536,118.41
10,131072,217.22
10,262144,416.50
10,524288,862.26
10,1048576,1551.11
12,2,3.45
12,4,3.62
12,8,3.42
12,16,3.43
12,32,5.20
12,64,4.64
12,128,7.26
12,256,7.36
12,512,8.33
12,1024,10.01
12,2048,12.83
12,4096,17.71
12,8192,27.73
12,16384,51.78
12,32768,84.88
12,65536,140.17
12,131072,300.62
12,262144,499.06
12,524288,1000.94
12,1048576,1917.87
14,2,3.78
14,4,3.86
14,8,3.78
14,16,3.85
14,32,5.99
14,64,5.23
14,128,8.39
14,256,8.48
14,512,9.72
14,1024,11.56
14,2048,14.90
14,4096,20.45
14,8192,31.69
14,16384,59.27
14,32768,99.45
14,65536,168.94
14,131072,313.12
14,262144,574.45
14,524288,1182.79
14,1048576,2168.78
16,2,4.39
16,4,4.37
16,8,4.39
16,16,4.35
16,32,6.90
16,64,6.09
16,128,9.81
16,256,9.87
16,512,11.14
16,1024,12.79
16,2048,16.77
16,4096,23.17
16,8192,36.27
16,16384,69.56
16,32768,109.05
16,65536,195.00
16,131072,348.20
16,262144,672.70
16,524288,1260.88
16,1048576,2574.40
18,2,6.27
18,4,5.27
18,8,5.21
18,16,5.21
18,32,7.83
18,64,7.21
18,128,11.34
18,256,11.58
18,512,12.81
18,1024,15.00
18,2048,19.44
18,4096,26.67
18,8192,41.42
18,16384,77.32
18,32768,128.06
18,65536,214.93
18,131072,389.25
18,262144,745.16
18,524288,1419.07
18,1048576,3007.69
20,2,6.82
20,4,5.74
20,8,5.84
20,16,5.81
20,32,8.66
20,64,7.76
20,128,12.88
20,256,12.87
20,512,14.23
20,1024,16.80
20,2048,21.69
20,4096,29.58
20,8192,45.91
20,16384,85.30
20,32768,137.67
20,65536,231.63
20,131072,436.22
20,262144,807.07
20,524288,1625.05
20,1048576,3082.44
22,2,7.23
22,4,6.16
22,8,6.15
22,16,6.08
22,32,9.45
22,64,8.41
22,128,13.86
22,256,14.09
22,512,15.66
22,1024,18.65
22,2048,23.76
22,4096,32.47
22,8192,50.42
22,16384,93.21
22,32768,146.61
22,65536,255.97
22,131072,470.57
22,262144,898.65
22,524288,1756.52
22,1048576,3434.40
24,2,6.80
24,4,6.74
24,8,6.73
24,16,6.79
24,32,10.28
24,64,9.22
24,128,15.10
24,256,15.98
24,512,17.59
24,1024,21.28
24,2048,26.56
24,4096,35.99
24,8192,56.19
24,16384,105.73
24,32768,168.61
24,65536,304.84
24,131072,540.13
24,262144,1029.53
24,524288,2124.12
24,1048576,4001.97
26,2,6.74
26,4,6.66
26,8,6.70
26,16,6.69
26,32,10.77
26,64,9.42
26,128,16.30
26,256,16.55
26,512,18.34
26,1024,22.19
26,2048,28.25
26,4096,38.49
26,8192,61.04
26,16384,115.25
26,32768,182.50
26,65536,312.32
26,131072,583.46
26,262144,1140.66
26,524288,2211.63
26,1048576,4359.71
28,2,7.23
28,4,7.23
28,8,7.19
28,16,7.18
28,32,11.47
28,64,10.05
28,128,17.46
28,256,18.40
28,512,19.94
28,1024,23.82
28,2048,31.02
28,4096,41.78
28,8192,64.23
28,16384,126.09
28,32768,199.47
28,65536,343.85
28,131072,644.92
28,262144,1188.60
28,524288,2306.36
28,1048576,4585.77
30,2,7.60
30,4,7.51
30,8,7.54
30,16,7.52
30,32,12.52
30,64,10.75
30,128,18.59
30,256,19.34
30,512,20.91
30,1024,25.49
30,2048,32.72
30,4096,44.30
30,8192,69.99
30,16384,133.95
30,32768,214.11
30,65536,364.59
30,131072,667.23
30,262144,1259.44
