Processes,Size,Latency
2,2,1.02
2,4,1.03
2,8,1.00
2,16,1.03
2,32,1.04
2,64,1.27
2,128,1.12
2,256,1.23
2,512,1.28
2,1024,1.49
2,2048,1.78
2,4096,2.98
2,8192,3.80
2,16384,5.68
2,32768,8.99
2,65536,12.10
2,131072,21.19
2,262144,32.17
2,524288,53.37
2,1048576,96.02
4,2,0.34
4,4,0.37
4,8,0.33
4,16,0.34
4,32,0.46
4,64,0.79
4,128,0.81
4,256,1.08
4,512,1.21
4,1024,1.45
4,2048,2.14
4,4096,3.29
4,8192,5.07
4,16384,5.85
4,32768,9.93
4,65536,16.10
4,131072,29.07
4,262144,47.26
4,524288,86.93
4,1048576,165.48
6,2,0.52
6,4,0.55
6,8,0.52
6,16,0.52
6,32,0.73
6,64,1.00
6,128,0.97
6,256,1.31
6,512,1.44
6,1024,1.80
6,2048,2.61
6,4096,4.14
6,8192,6.10
6,16384,7.50
6,32768,12.02
6,65536,19.13
6,131072,32.30
6,262144,64.83
6,524288,119.90
6,1048576,238.13
8,2,2.01
8,4,1.94
8,8,1.92
8,16,1.97
8,32,2.08
8,64,2.08
8,128,2.61
8,256,3.13
8,512,3.21
8,1024,3.61
8,2048,4.71
8,4096,6.53
8,8192,9.47
8,16384,9.60
8,32768,15.61
8,65536,25.22
8,131072,39.72
8,262144,88.26
8,524288,169.99
8,1048576,313.74
10,2,2.06
10,4,2.07
10,8,1.98
10,16,2.28
10,32,2.21
10,64,2.30
10,128,2.80
10,256,3.25
10,512,3.43
10,1024,3.90
10,2048,5.18
10,4096,7.07
10,8192,10.22
10,16384,10.29
10,32768,15.00
10,65536,24.28
10,131072,42.62
10,262144,115.12
10,524288,224.74
10,1048576,416.12
12,2,2.06
12,4,2.13
12,8,2.16
12,16,2.16
12,32,2.33
12,64,2.61
12,128,3.15
12,256,3.58
12,512,3.83
12,1024,4.35
12,2048,5.88
12,4096,8.06
12,8192,12.10
12,16384,11.18
12,32768,17.83
12,65536,29.56
12,131072,48.21
12,262144,130.41
12,524288,261.98
12,1048576,482.96
14,2,2.05
14,4,2.00
14,8,2.17
14,16,2.06
14,32,2.19
14,64,2.40
14,128,3.04
14,256,3.64
14,512,3.92
14,1024,4.56
14,2048,6.10
14,4096,8.77
14,8192,12.86
14,16384,11.45
14,32768,17.87
14,65536,29.43
14,131072,54.90
14,262144,154.00
14,524288,317.81
14,1048576,555.80
16,2,2.40
16,4,2.32
16,8,2.31
16,16,2.33
16,32,2.53
16,64,2.68
16,128,3.56
16,256,4.24
16,512,4.35
