Processes,Latency
2,0.28
4,0.53
6,0.72
8,0.93
10,1.34
12,1.30
14,1.40
16,1.66
18,2.73
20,2.69
22,2.72
24,2.75
26,2.64
28,2.39
30,2.41
32,3.01
34,4.59
36,4.42
38,4.11
40,4.09
42,3.78
44,3.62
46,3.79
48,3.99
