Processes,Latency
2,1.08
4,1.08
6,1.53
8,2.06
10,2.78
12,2.30
14,2.47
16,2.44
18,3.08
20,2.76
22,2.86
24,2.76
26,2.92
28,2.80
30,2.91
32,2.85
34,3.46
36,3.19
38,3.26
40,3.24
42,3.20
44,3.20
46,3.26
48,3.22
