Processes,Size,Latency
2,2,0.53
2,4,0.54
2,8,0.54
2,16,0.53
2,32,0.54
2,64,0.68
2,128,0.69
2,256,1.27
2,512,1.37
2,1024,1.55
2,2048,1.68
2,4096,2.42
2,8192,3.83
2,16384,6.26
2,32768,11.56
2,65536,21.77
2,131072,42.43
2,262144,83.75
2,524288,33.86
2,1048576,65.48
4,2,0.97
4,4,0.95
4,8,0.96
4,16,0.96
4,32,0.95
4,64,1.33
4,128,1.35
4,256,2.02
4,512,2.07
4,1024,2.34
4,2048,2.74
4,4096,4.12
4,8192,5.48
4,16384,8.78
4,32768,15.59
4,65536,29.30
4,131072,55.89
4,262144,114.04
4,524288,169.02
4,1048576,323.83
6,2,1.30
6,4,1.31
6,8,1.32
6,16,1.33
6,32,1.31
6,64,1.82
6,128,1.65
6,256,2.52
6,512,2.62
6,1024,2.93
6,2048,3.51
6,4096,4.97
6,8192,6.79
6,16384,10.28
6,32768,18.27
6,65536,34.29
6,131072,63.69
6,262144,126.70
6,524288,313.26
6,1048576,575.31
8,2,1.29
8,4,1.32
8,8,1.36
8,16,1.32
8,32,1.32
8,64,2.08
8,128,1.79
8,256,2.75
8,512,2.85
8,1024,3.22
8,2048,3.78
8,4096,5.30
8,8192,7.22
8,16384,11.35
8,32768,19.69
8,65536,36.50
8,131072,67.05
8,262144,133.16
8,524288,338.30
8,1048576,611.18
10,2,1.86
10,4,1.80
10,8,1.88
10,16,2.00
10,32,1.88
10,64,2.27
10,128,2.20
10,256,3.19
10,512,3.29
10,1024,3.70
10,2048,4.51
10,4096,6.11
10,8192,8.17
10,16384,12.57
10,32768,20.91
10,65536,38.95
10,131072,71.25
10,262144,143.62
10,524288,362.45
10,1048576,733.23
12,2,1.78
12,4,1.73
12,8,2.34
12,16,1.75
12,32,1.77
12,64,2.23
12,128,2.14
12,256,3.15
12,512,3.35
12,1024,3.74
12,2048,4.68
12,4096,6.30
12,8192,8.76
12,16384,13.02
12,32768,22.36
12,65536,42.25
12,131072,78.21
12,262144,152.58
12,524288,423.22
12,1048576,788.55
14,2,1.70
14,4,1.71
14,8,2.07
14,16,1.64
14,32,1.67
14,64,2.13
14,128,2.11
14,256,3.22
14,512,3.30
14,1024,3.77
14,2048,4.71
14,4096,6.39
14,8192,8.82
14,16384,13.56
14,32768,23.39
14,65536,43.73
14,131072,82.72
14,262144,160.22
14,524288,410.39
14,1048576,790.23
16,2,1.65
16,4,1.68
16,8,1.72
16,16,1.64
16,32,1.65
16,64,2.31
16,128,2.22
16,256,3.34
16,512,3.49
16,1024,3.83
16,2048,4.60
16,4096,6.59
16,8192,9.13
16,16384,14.35
16,32768,24.94
16,65536,43.34
16,131072,84.60
16,262144,162.06
16,524288,423.38
16,1048576,818.72
18,2,2.20
18,4,2.20
18,8,2.50
18,16,2.15
18,32,2.11
18,64,2.73
18,128,2.64
18,256,3.76
18,512,3.91
18,1024,4.33
18,2048,5.40
18,4096,7.55
18,8192,10.16
18,16384,15.46
18,32768,26.18
18,65536,46.74
18,131072,89.55
18,262144,174.52
18,524288,439.10
18,1048576,907.95
20,2,2.09
20,4,2.87
20,8,2.05
20,16,2.12
20,32,2.10
20,64,2.62
20,128,2.55
20,256,3.67
20,512,3.81
20,1024,4.28
20,2048,5.48
20,4096,7.44
20,8192,10.10
20,16384,15.72
20,32768,26.89
20,65536,48.48
20,131072,91.88
20,262144,177.69
20,524288,461.62
20,1048576,910.97
22,2,2.08
22,4,2.70
22,8,2.03
22,16,2.04
22,32,2.08
22,64,2.53
22,128,2.46
22,256,3.74
22,512,3.79
22,1024,4.25
22,2048,5.54
22,4096,7.48
22,8192,10.34
22,16384,16.62
22,32768,27.97
22,65536,50.07
22,131072,96.50
22,262144,185.84
22,524288,493.20
22,1048576,953.62
24,2,2.05
24,4,2.52
24,8,2.02
24,16,2.01
24,32,2.03
24,64,2.57
24,128,2.48
24,256,3.71
24,512,3.89
24,1024,4.37
24,2048,5.65
24,4096,7.50
24,8192,10.68
24,16384,16.81
24,32768,27.82
24,65536,51.53
24,131072,99.54
24,262144,189.29
24,524288,523.07
24,1048576,948.82
26,2,2.31
26,4,2.34
26,8,2.31
26,16,2.33
26,32,2.30
26,64,2.75
26,128,2.85
26,256,3.82
26,512,3.93
26,1024,4.40
26,2048,5.67
26,4096,7.85
26,8192,11.22
26,16384,17.28
26,32768,28.96
26,65536,52.28
26,131072,100.32
26,262144,190.61
26,524288,532.01
26,1048576,965.09
28,2,2.21
28,4,2.24
28,8,2.22
28,16,2.19
28,32,2.24
28,64,2.64
28,128,2.65
28,256,3.84
28,512,3.68
28,1024,4.16
28,2048,5.37
28,4096,7.84
28,8192,10.97
28,16384,17.39
28,32768,28.78
28,65536,53.91
28,131072,102.36
28,262144,195.96
28,524288,516.75
28,1048576,994.94
30,2,2.27
30,4,2.25
30,8,2.27
30,16,2.26
30,32,2.30
30,64,2.64
30,128,2.73
30,256,3.41
30,512,3.66
30,1024,4.14
30,2048,5.28
30,4096,7.55
30,8192,11.15
30,16384,17.96
30,32768,29.83
30,65536,55.72
30,131072,106.10
30,262144,201.62
30,524288,531.48
30,1048576,1021.78
32,2,2.32
32,4,2.32
32,8,2.47
32,16,2.34
32,32,2.31
32,64,3.02
32,128,3.04
32,256,4.38
32,512,4.70
32,1024,5.20
32,2048,6.39
32,4096,8.70
32,8192,12.27
32,16384,19.29
32,32768,32.28
32,65536,59.03
32,131072,110.33
32,262144,206.67
32,524288,528.50
32,1048576,1003.82
34,2,4.79
34,4,4.76
34,8,4.62
34,16,4.69
34,32,4.63
34,64,5.19
34,128,5.21
34,256,6.28
34,512,6.57
34,1024,7.12
34,2048,8.46
34,4096,10.99
34,8192,15.02
34,16384,23.16
34,32768,36.38
34,65536,65.29
34,131072,118.46
34,262144,222.95
34,524288,621.36
34,1048576,1184.37
36,2,4.16
36,4,4.20
36,8,4.27
36,16,4.27
36,32,4.21
36,64,4.83
36,128,4.70
36,256,5.89
36,512,6.21
36,1024,6.77
36,2048,8.31
36,4096,10.63
36,8192,14.89
36,16384,23.67
36,32768,37.57
36,65536,67.73
36,131072,123.81
36,262144,233.89
36,524288,617.22
36,1048576,1194.79
38,2,4.02
38,4,4.02
38,8,3.97
38,16,3.97
38,32,4.03
38,64,4.69
38,128,4.60
38,256,5.84
38,512,6.17
38,1024,6.74
38,2048,8.32
38,4096,10.80
38,8192,15.14
38,16384,24.72
38,32768,38.98
38,65536,71.42
38,131072,130.96
38,262144,246.65
38,524288,674.74
38,1048576,1298.86
40,2,3.87
40,4,3.87
40,8,3.84
40,16,3.83
40,32,3.88
40,64,4.57
40,128,4.52
40,256,5.73
40,512,6.04
40,1024,6.66
40,2048,8.38
40,4096,10.86
40,8192,15.57
40,16384,25.50
40,32768,41.10
40,65536,73.56
40,131072,136.49
40,262144,258.50
40,524288,698.42
40,1048576,1394.22
42,2,3.79
42,4,3.78
42,8,3.79
42,16,3.81
42,32,3.81
42,64,4.57
42,128,4.52
42,256,5.75
42,512,6.21
42,1024,6.71
42,2048,8.42
42,4096,10.98
42,8192,16.07
42,16384,25.62
42,32768,41.43
42,65536,74.77
42,131072,139.60
42,262144,262.81
42,524288,690.54
42,1048576,1310.10
44,2,3.62
44,4,3.64
44,8,3.71
44,16,3.64
44,32,3.59
44,64,4.45
44,128,4.41
44,256,5.63
44,512,5.96
44,1024,6.60
44,2048,8.38
44,4096,10.96
44,8192,15.79
44,16384,25.61
44,32768,42.75
44,65536,75.90
44,131072,141.76
44,262144,267.81
44,524288,694.15
44,1048576,1334.57
46,2,3.68
46,4,3.66
46,8,3.64
46,16,3.63
46,32,3.66
46,64,4.42
46,128,4.38
46,256,5.66
46,512,6.01
46,1024,6.60
46,2048,8.45
46,4096,11.06
46,8192,15.83
46,16384,26.03
46,32768,43.45
46,65536,78.07
46,131072,146.82
46,262144,276.37
46,524288,720.04
46,1048576,1387.86
48,2,3.58
48,4,3.62
48,8,3.63
48,16,3.62
48,32,3.55
48,64,4.46
48,128,4.41
48,256,5.69
48,512,6.02
48,1024,6.69
48,2048,8.55
48,4096,11.30
48,8192,16.60
48,16384,27.19
48,32768,45.33
48,65536,81.21
48,131072,150.25
48,262144,288.04
48,524288,741.91
48,1048576,1470.06
