Processes,Size,Latency
46,2,5.02
46,4,4.85
46,8,5.03
46,16,4.83
46,32,5.68
46,64,5.88
46,128,10.02
46,256,10.53
46,512,11.74
46,1024,15.18
46,2048,19.38
46,4096,26.50
46,8192,39.80
46,16384,74.53
46,32768,151.66
46,65536,306.57
46,131072,661.36
46,262144,511.30
46,524288,1021.86
46,1048576,2932.03
48,2,5.24
48,4,5.22
48,8,5.40
48,16,5.33
48,32,5.86
48,64,5.95
48,128,10.64
48,256,11.57
48,512,12.35
48,1024,15.70
48,2048,19.88
48,4096,27.36
48,8192,41.39
48,16384,78.66
48,32768,160.34
48,65536,326.03
48,131072,698.75
48,262144,543.54
48,524288,1077.21
48,1048576,3036.75
