Processes,Latency
2,1.02
4,0.34
6,0.54
8,1.98
10,2.04
12,2.15
14,2.10
16,2.35
18,2.64
20,2.80
22,2.72
24,2.91
26,2.79
28,3.04
30,3.15
32,3.46
34,3.81
36,4.05
38,4.43
40,4.28
42,4.15
44,4.22
46,4.31
48,4.48
