Processes,Latency
2,0.36
4,0.33
6,0.62
8,1.16
10,1.46
12,1.47
14,1.52
16,1.77
18,2.09
20,2.22
22,2.26
24,2.46
26,2.26
28,2.46
30,2.69
32,3.64
34,5.40
36,5.05
38,5.27
40,5.13
42,5.07
44,5.08
46,5.26
48,5.20
