Processes,Size,Latency
2,2,0.20
2,4,0.20
2,8,0.20
2,16,0.19
2,32,0.23
2,64,0.24
2,128,0.31
2,256,0.32
2,512,0.36
2,1024,0.40
2,2048,0.53
2,4096,0.82
2,8192,1.32
2,16384,3.05
2,32768,5.17
2,65536,6.69
2,131072,9.84
2,262144,15.15
2,524288,28.84
2,1048576,61.92
4,2,0.31
4,4,0.32
4,8,0.32
4,16,0.31
4,32,0.38
4,64,0.40
4,128,0.53
4,256,0.58
4,512,0.62
4,1024,0.80
4,2048,1.11
4,4096,1.72
4,8192,2.51
4,16384,5.57
4,32768,9.05
4,65536,14.67
4,131072,28.36
4,262144,54.93
4,524288,107.89
4,1048576,240.20
6,2,0.51
6,4,0.49
6,8,0.48
6,16,0.50
6,32,0.58
6,64,0.53
6,128,0.80
6,256,0.84
6,512,0.94
6,1024,1.19
6,2048,1.55
6,4096,2.37
6,8192,3.61
6,16384,6.86
6,32768,11.73
6,65536,22.22
6,131072,44.03
6,262144,85.94
6,524288,173.00
6,1048576,412.35
8,2,0.57
8,4,0.55
8,8,0.68
8,16,0.68
8,32,0.84
8,64,0.73
8,128,1.14
8,256,1.20
8,512,1.25
8,1024,1.52
8,2048,2.19
8,4096,3.21
8,8192,4.70
8,16384,10.85
8,32768,15.47
8,65536,29.76
8,131072,57.25
8,262144,116.14
8,524288,233.18
8,1048576,451.83
10,2,0.77
10,4,0.75
10,8,0.89
10,16,0.92
10,32,1.05
10,64,0.88
10,128,1.35
10,256,1.33
10,512,1.43
10,1024,1.78
10,2048,2.33
10,4096,3.54
10,8192,5.34
10,16384,11.63
10,32768,19.22
10,65536,35.84
10,131072,71.00
10,262144,142.54
10,524288,254.03
10,1048576,492.44
12,2,0.72
12,4,0.75
12,8,0.94
12,16,0.95
12,32,1.10
12,64,0.83
12,128,1.26
12,256,1.32
12,512,1.39
12,1024,1.80
12,2048,2.36
12,4096,3.85
12,8192,5.99
12,16384,12.54
12,32768,21.05
12,65536,42.06
12,131072,84.02
12,262144,165.59
12,524288,340.32
12,1048576,578.04
14,2,0.78
14,4,0.82
14,8,0.90
14,16,0.94
14,32,1.10
14,64,0.91
14,128,1.55
14,256,1.51
14,512,1.62
14,1024,2.07
14,2048,2.80
14,4096,4.46
14,8192,6.84
14,16384,13.90
14,32768,28.73
14,65536,59.91
14,131072,123.25
14,262144,247.40
14,524288,442.29
14,1048576,880.17
16,2,1.19
16,4,1.22
16,8,1.22
16,16,1.16
16,32,1.48
16,64,1.52
16,128,2.19
16,256,2.24
16,512,2.44
16,1024,2.86
16,2048,3.66
16,4096,4.88
16,8192,7.57
16,16384,16.79
16,32768,28.58
16,65536,50.93
16,131072,98.18
16,262144,205.68
16,524288,419.52
16,1048576,491.59
18,2,2.21
18,4,2.22
18,8,2.55
18,16,2.34
18,32,2.46
18,64,2.43
18,128,3.63
18,256,3.73
18,512,3.95
18,1024,4.63
18,2048,5.78
18,4096,6.40
18,8192,9.02
18,16384,22.42
18,32768,36.29
18,65536,69.23
18,131072,133.21
18,262144,256.29
18,524288,524.91
18,1048576,846.23
20,2,1.94
20,4,2.03
20,8,1.96
20,16,2.25
20,32,2.33
20,64,2.23
20,128,3.42
20,256,3.55
20,512,3.81
20,1024,4.43
20,2048,5.57
20,4096,6.46
20,8192,9.56
20,16384,24.20
20,32768,40.32
20,65536,76.96
20,131072,152.22
20,262144,289.62
20,524288,579.36
20,1048576,845.69
22,2,1.86
22,4,1.83
22,8,1.83
22,16,1.88
22,32,2.09
22,64,2.05
22,128,3.27
22,256,3.37
22,512,3.56
22,1024,4.33
22,2048,5.55
22,4096,6.73
22,8192,9.92
22,16384,23.54
22,32768,42.39
22,65536,79.81
22,131072,152.94
22,262144,295.81
22,524288,595.49
22,1048576,826.34
24,2,1.71
24,4,1.75
24,8,1.78
24,16,1.73
24,32,2.09
24,64,2.07
24,128,3.15
24,256,3.16
24,512,3.37
24,1024,4.15
24,2048,5.27
24,4096,7.16
24,8192,10.60
24,16384,24.18
24,32768,42.52
24,65536,71.26
24,131072,158.16
24,262144,308.17
24,524288,611.58
24,1048576,812.86
26,2,1.42
26,4,1.43
26,8,1.48
26,16,1.48
26,32,1.76
26,64,1.81
26,128,2.62
26,256,2.76
26,512,2.94
26,1024,3.74
26,2048,4.92
26,4096,6.92
26,8192,10.75
26,16384,24.27
26,32768,41.70
26,65536,80.27
26,131072,153.67
26,262144,299.46
26,524288,604.11
26,1048576,745.64
28,2,1.36
28,4,1.53
28,8,1.45
28,16,1.40
28,32,1.80
28,64,1.75
28,128,2.55
28,256,2.63
28,512,2.98
28,1024,3.70
28,2048,5.08
28,4096,6.84
28,8192,10.47
28,16384,25.01
28,32768,43.18
28,65536,80.38
28,131072,155.55
28,262144,308.30
28,524288,607.65
28,1048576,745.25
30,2,1.58
30,4,1.46
30,8,1.42
30,16,1.42
30,32,1.73
30,64,1.73
30,128,2.56
30,256,2.70
30,512,3.00
30,1024,3.72
30,2048,4.94
30,4096,7.06
30,8192,10.86
30,16384,24.20
30,32768,43.31
30,65536,82.29
30,131072,158.99
30,262144,301.33
30,524288,601.65
30,1048576,777.36
32,2,2.14
32,4,2.10
32,8,2.15
32,16,2.13
32,32,2.39
32,64,2.46
32,128,3.35
32,256,3.55
32,512,3.84
32,1024,4.57
32,2048,5.97
32,4096,8.23
32,8192,12.14
32,16384,19.48
32,32768,35.38
32,65536,63.02
32,131072,127.09
32,262144,254.31
32,524288,507.61
32,1048576,897.97
34,2,4.12
34,4,3.97
34,8,3.97
34,16,3.97
34,32,4.22
34,64,4.27
34,128,5.17
34,256,5.42
34,512,5.78
34,1024,6.48
34,2048,8.21
34,4096,10.77
34,8192,14.64
34,16384,19.57
34,32768,30.33
34,65536,50.72
34,131072,116.12
34,262144,238.78
34,524288,469.14
34,1048576,829.10
36,2,3.62
36,4,3.83
36,8,3.62
36,16,3.64
36,32,4.07
36,64,4.02
36,128,4.96
36,256,5.18
36,512,5.52
36,1024,6.26
36,2048,8.00
36,4096,10.39
36,8192,14.41
36,16384,19.73
36,32768,29.51
36,65536,45.86
36,131072,119.88
36,262144,227.91
36,524288,377.07
36,1048576,780.75
38,2,3.52
38,4,3.44
38,8,3.38
38,16,3.41
38,32,3.74
38,64,3.65
38,128,4.62
38,256,4.88
38,512,5.19
38,1024,5.93
38,2048,7.65
38,4096,10.14
38,8192,14.40
38,16384,19.55
38,32768,30.36
38,65536,51.07
38,131072,116.33
38,262144,241.48
38,524288,487.48
38,1048576,718.38
40,2,3.26
40,4,3.42
40,8,3.32
40,16,3.35
40,32,3.57
40,64,3.55
40,128,4.48
40,256,4.80
40,512,5.09
40,1024,5.80
40,2048,7.39
40,4096,9.84
40,8192,14.02
40,16384,20.02
40,32768,31.53
40,65536,52.73
40,131072,113.24
40,262144,192.79
40,524288,474.24
40,1048576,844.96
42,2,3.06
42,4,3.11
42,8,3.10
42,16,3.17
42,32,3.35
42,64,3.43
42,128,4.30
42,256,4.66
42,512,4.94
42,1024,5.59
42,2048,7.14
42,4096,9.62
42,8192,14.04
42,16384,19.95
42,32768,31.66
42,65536,53.44
42,131072,119.72
42,262144,238.09
42,524288,478.42
42,1048576,834.01
44,2,3.26
44,4,2.91
44,8,3.06
44,16,2.99
44,32,3.31
44,64,3.38
44,128,4.33
44,256,4.56
44,512,4.88
44,1024,5.59
44,2048,7.33
44,4096,9.88
44,8192,14.17
44,16384,20.44
44,32768,32.08
44,65536,54.65
44,131072,119.31
44,262144,242.98
44,524288,425.39
44,1048576,793.78
46,2,2.94
46,4,2.88
46,8,2.83
46,16,2.84
46,32,3.19
46,64,3.41
46,128,4.18
46,256,4.52
