Processes,Size,Latency
2,2,0.20
2,4,0.20
2,8,0.20
2,16,0.21
2,32,0.24
2,64,0.26
2,128,0.32
2,256,0.34
2,512,0.36
2,1024,0.43
2,2048,0.56
2,4096,0.85
2,8192,1.39
2,16384,3.12
2,32768,5.19
2,65536,6.90
2,131072,9.73
2,262144,15.37
2,524288,28.53
2,1048576,60.86
4,2,0.21
4,4,0.21
4,8,0.22
4,16,0.20
4,32,0.27
4,64,0.27
4,128,0.42
4,256,0.46
4,512,0.52
4,1024,0.72
4,2048,1.05
4,4096,1.68
4,8192,2.57
4,16384,5.48
4,32768,9.09
4,65536,14.79
4,131072,26.52
4,262144,53.21
4,524288,104.37
4,1048576,217.83
6,2,0.34
6,4,0.35
6,8,0.34
6,16,0.35
6,32,0.43
6,64,0.43
6,128,0.66
6,256,0.70
6,512,0.74
6,1024,1.07
6,2048,1.45
6,4096,2.21
6,8192,3.47
6,16384,7.81
6,32768,12.46
6,65536,22.89
6,131072,43.75
6,262144,86.08
6,524288,169.02
6,1048576,336.22
8,2,0.59
8,4,0.62
8,8,0.61
8,16,0.58
8,32,0.68
8,64,0.69
8,128,1.13
8,256,1.14
8,512,1.18
8,1024,1.47
8,2048,1.94
8,4096,2.93
8,8192,4.47
8,16384,10.48
8,32768,16.01
8,65536,27.78
8,131072,52.90
8,262144,104.10
8,524288,200.68
8,1048576,371.94
10,2,0.87
10,4,0.92
10,8,0.91
10,16,0.92
10,32,1.01
10,64,0.98
10,128,1.32
10,256,1.48
10,512,1.56
10,1024,1.83
10,2048,2.32
10,4096,3.80
10,8192,5.25
10,16384,11.91
10,32768,19.24
10,65536,33.29
10,131072,61.02
10,262144,117.84
10,524288,229.46
10,1048576,414.00
12,2,0.94
12,4,0.88
12,8,0.92
12,16,0.87
12,32,1.07
12,64,1.02
12,128,1.65
12,256,1.45
12,512,1.52
12,1024,1.94
12,2048,2.47
12,4096,3.85
12,8192,5.81
12,16384,13.41
12,32768,21.26
12,65536,36.67
12,131072,67.31
12,262144,128.15
12,524288,241.13
12,1048576,506.87
14,2,0.89
14,4,0.86
14,8,0.82
14,16,0.86
14,32,1.20
14,64,1.08
14,128,1.53
14,256,1.63
14,512,1.70
14,1024,2.13
14,2048,2.85
14,4096,4.27
14,8192,6.61
14,16384,15.55
14,32768,24.98
14,65536,44.60
14,131072,80.63
14,262144,161.27
14,524288,325.96
14,1048576,587.00
16,2,1.20
16,4,1.18
16,8,1.17
16,16,1.18
16,32,1.39
16,64,1.68
16,128,2.13
16,256,2.25
16,512,2.38
16,1024,2.82
16,2048,3.58
16,4096,5.49
16,8192,8.21
16,16384,19.87
16,32768,31.11
16,65536,56.23
16,131072,104.36
16,262144,204.21
16,524288,384.29
16,1048576,735.18
18,2,2.31
18,4,2.23
18,8,2.33
18,16,2.31
18,32,2.58
18,64,2.46
18,128,3.16
18,256,3.11
18,512,3.27
18,1024,3.93
18,2048,4.70
18,4096,6.57
18,8192,9.51
18,16384,22.58
18,32768,35.25
18,65536,59.97
18,131072,111.06
18,262144,214.20
18,524288,422.74
18,1048576,778.09
20,2,2.48
20,4,2.45
20,8,2.84
20,16,2.46
20,32,2.70
20,64,2.71
20,128,3.44
20,256,3.59
20,512,3.68
20,1024,4.22
20,2048,5.12
20,4096,7.15
20,8192,10.43
20,16384,24.28
20,32768,37.16
20,65536,64.40
20,131072,119.62
20,262144,227.44
20,524288,445.58
20,1048576,775.44
22,2,2.25
22,4,2.22
22,8,2.72
22,16,2.22
22,32,2.62
22,64,2.52
22,128,3.32
22,256,3.43
22,512,3.67
22,1024,4.32
22,2048,5.37
22,4096,7.49
22,8192,11.30
22,16384,25.67
22,32768,38.19
22,65536,65.48
22,131072,116.48
22,262144,243.73
22,524288,467.64
22,1048576,876.39
24,2,2.26
24,4,2.29
24,8,2.40
24,16,2.23
24,32,2.71
24,64,2.71
24,128,3.48
24,256,3.63
24,512,3.95
24,1024,4.68
24,2048,5.79
24,4096,8.12
24,8192,11.81
24,16384,26.46
24,32768,40.79
24,65536,70.79
24,131072,128.58
24,262144,256.34
24,524288,484.04
24,1048576,989.58
26,2,2.10
26,4,2.65
26,8,2.11
26,16,2.09
26,32,2.55
26,64,2.53
26,128,3.39
26,256,3.39
26,512,3.64
26,1024,4.35
26,2048,5.64
26,4096,8.46
26,8192,12.16
26,16384,27.64
26,32768,42.60
26,65536,71.55
26,131072,133.07
26,262144,263.34
26,524288,526.99
26,1048576,924.06
28,2,2.11
28,4,2.30
28,8,2.09
28,16,2.08
28,32,2.55
28,64,2.63
28,128,3.33
28,256,3.49
28,512,3.71
28,1024,4.51
28,2048,5.80
28,4096,8.81
28,8192,12.80
28,16384,29.12
28,32768,45.28
28,65536,77.17
28,131072,135.79
28,262144,275.95
28,524288,532.39
28,1048576,1012.07
30,2,2.60
30,4,2.20
30,8,2.12
30,16,2.15
30,32,2.62
30,64,2.66
30,128,3.43
30,256,3.59
30,512,3.89
30,1024,4.69
30,2048,5.99
30,4096,8.87
30,8192,13.42
30,16384,29.97
30,32768,46.43
30,65536,79.03
30,131072,143.99
30,262144,274.78
30,524288,537.21
30,1048576,1067.86
32,2,2.56
32,4,2.66
32,8,2.57
32,16,2.58
32,32,2.88
32,64,2.97
32,128,3.96
32,256,4.15
32,512,4.46
32,1024,5.16
32,2048,6.70
32,4096,9.90
32,8192,14.36
32,16384,29.40
32,32768,45.56
32,65536,77.35
32,131072,138.40
32,262144,262.98
32,524288,489.56
32,1048576,940.57
34,2,5.49
34,4,4.60
34,8,4.62
34,16,4.59
34,32,4.96
34,64,5.01
34,128,5.92
34,256,6.18
34,512,6.38
34,1024,7.26
34,2048,8.72
34,4096,11.99
34,8192,16.91
34,16384,33.91
34,32768,49.05
34,65536,80.48
34,131072,143.43
34,262144,264.40
34,524288,527.72
34,1048576,1040.46
36,2,5.40
36,4,4.69
36,8,4.62
36,16,4.66
36,32,5.00
36,64,5.06
36,128,6.15
36,256,6.43
36,512,6.75
36,1024,7.82
36,2048,9.13
36,4096,12.63
36,8192,17.70
36,16384,35.57
36,32768,51.41
36,65536,85.68
36,131072,151.84
36,262144,288.12
36,524288,552.31
36,1048576,1084.32
38,2,5.16
38,4,4.34
38,8,4.32
38,16,4.27
38,32,4.63
38,64,4.70
38,128,5.68
38,256,5.93
38,512,6.23
38,1024,7.35
38,2048,8.72
38,4096,11.96
38,8192,17.43
38,16384,36.07
38,32768,53.34
38,65536,88.36
38,131072,156.83
38,262144,307.43
38,524288,607.33
38,1048576,1111.05
40,2,4.84
40,4,4.33
40,8,4.34
40,16,4.35
40,32,4.69
40,64,4.83
40,128,5.82
40,256,6.20
40,512,6.47
40,1024,7.60
40,2048,9.27
40,4096,13.04
40,8192,18.91
40,16384,37.95
40,32768,56.10
40,65536,92.16
40,131072,167.88
40,262144,311.07
40,524288,595.95
40,1048576,1154.32
42,2,4.75
42,4,4.43
42,8,4.12
42,16,4.19
42,32,4.61
42,64,4.66
42,128,6.19
42,256,6.48
42,512,6.73
42,1024,7.80
42,2048,9.54
42,4096,13.33
42,8192,19.59
42,16384,38.79
42,32768,57.37
42,65536,91.99
42,131072,166.77
42,262144,306.69
42,524288,581.78
42,1048576,1125.68
44,2,4.68
44,4,3.60
44,8,3.61
44,16,3.62
44,32,4.15
44,64,4.22
44,128,5.56
44,256,6.12
44,512,6.15
44,1024,7.32
44,2048,9.24
44,4096,13.35
44,8192,19.79
44,16384,39.49
44,32768,58.25
44,65536,94.10
44,131072,171.50
44,262144,305.16
44,524288,600.12
44,1048576,1173.73
46,2,4.17
46,4,3.80
46,8,3.75
46,16,3.74
46,32,4.30
46,64,4.22
46,128,5.36
