Processes,Latency
2,0.20
4,0.33
6,0.48
8,0.56
10,0.95
12,0.73
14,0.82
16,1.20
18,2.32
20,2.03
22,1.84
24,1.81
26,1.50
28,1.47
30,1.42
32,2.10
34,3.98
36,3.67
38,3.35
40,3.34
42,3.15
44,3.00
46,2.88
48,2.92
