Processes,Size,Latency
2,2,1.03
2,4,1.02
2,8,1.03
2,16,1.03
2,32,1.06
2,64,1.28
2,128,1.12
2,256,1.44
2,512,1.51
2,1024,1.68
2,2048,2.05
2,4096,2.37
2,8192,3.28
2,16384,4.94
2,32768,6.82
2,65536,11.08
2,131072,18.24
2,262144,41.42
2,524288,73.23
2,1048576,152.62
4,2,0.33
4,4,0.35
4,8,0.33
4,16,0.36
4,32,0.50
4,64,0.76
4,128,1.03
4,256,1.29
4,512,1.41
4,1024,1.67
4,2048,2.38
4,4096,3.62
4,8192,5.54
4,16384,8.86
4,32768,15.56
4,65536,28.90
4,131072,54.82
4,262144,70.87
4,524288,125.26
4,1048576,257.85
6,2,0.52
6,4,0.53
6,8,0.54
6,16,0.57
6,32,0.65
6,64,0.95
6,128,1.18
6,256,1.55
6,512,1.65
6,1024,2.04
6,2048,2.97
6,4096,4.33
6,8192,6.51
6,16384,10.95
6,32768,19.36
6,65536,35.63
6,131072,69.08
6,262144,99.49
6,524288,175.85
6,1048576,352.76
8,2,1.89
8,4,1.98
8,8,1.91
8,16,1.95
8,32,2.28
8,64,2.25
8,128,2.70
8,256,3.17
8,512,3.26
8,1024,3.74
8,2048,4.90
8,4096,6.61
8,8192,9.58
8,16384,15.41
8,32768,26.32
8,65536,48.51
8,131072,98.43
8,262144,128.02
8,524288,223.41
8,1048576,452.25
10,2,2.05
10,4,2.06
10,8,1.98
10,16,2.19
10,32,2.23
10,64,2.39
10,128,3.09
10,256,3.42
10,512,3.61
10,1024,4.11
10,2048,5.31
10,4096,7.10
10,8192,10.42
10,16384,17.27
10,32768,29.81
10,65536,55.09
10,131072,118.26
10,262144,154.98
10,524288,278.28
10,1048576,579.28
12,2,2.16
12,4,2.19
12,8,2.16
12,16,2.20
12,32,2.46
12,64,2.65
12,128,3.16
12,256,3.67
12,512,4.06
12,1024,4.74
12,2048,6.05
12,4096,8.27
12,8192,12.06
12,16384,20.40
12,32768,35.77
12,65536,67.74
12,131072,144.32
12,262144,182.74
12,524288,327.02
12,1048576,676.90
14,2,2.04
14,4,2.02
14,8,2.11
14,16,2.07
14,32,2.22
14,64,2.47
14,128,3.07
14,256,3.74
14,512,4.21
14,1024,4.79
14,2048,6.24
14,4096,8.89
14,8192,13.44
14,16384,22.09
14,32768,39.87
14,65536,76.10
14,131072,161.08
14,262144,210.00
14,524288,375.04
14,1048576,778.16
16,2,2.32
16,4,2.30
16,8,2.33
16,16,2.37
16,32,2.52
16,64,2.67
16,128,3.65
16,256,4.17
16,512,4.78
16,1024,5.54
16,2048,7.30
