Processes,Size,Latency
2,2,0.21
2,4,0.21
2,8,0.20
2,16,0.21
2,32,0.26
2,64,0.26
2,128,0.32
2,256,0.35
2,512,0.38
2,1024,0.43
2,2048,0.59
2,4096,0.88
2,8192,1.65
2,16384,3.15
2,32768,5.39
2,65536,10.61
2,131072,19.88
2,262144,24.77
2,524288,48.44
2,1048576,118.77
4,2,0.35
4,4,0.33
4,8,0.36
4,16,0.35
4,32,0.38
4,64,0.48
4,128,0.57
4,256,0.60
4,512,0.77
4,1024,1.06
4,2048,1.59
4,4096,2.63
4,8192,4.28
4,16384,7.87
4,32768,13.67
4,65536,25.77
4,131072,39.60
4,262144,75.86
4,524288,165.59
4,1048576,379.52
6,2,0.47
6,4,0.47
6,8,0.50
6,16,0.52
6,32,0.54
6,64,0.70
6,128,0.80
6,256,0.86
6,512,1.04
6,1024,1.42
6,2048,2.17
6,4096,3.62
6,8192,5.64
6,16384,10.05
6,32768,18.38
6,65536,36.10
6,131072,51.23
6,262144,118.47
6,524288,266.23
6,1048576,648.74
8,2,0.70
8,4,0.70
8,8,0.74
8,16,0.79
8,32,0.90
8,64,1.04
8,128,1.28
8,256,1.27
8,512,1.71
8,1024,2.47
8,2048,3.55
8,4096,5.34
8,8192,8.51
8,16384,15.26
8,32768,28.03
8,65536,44.49
8,131072,93.77
8,262144,214.50
8,524288,460.51
8,1048576,1285.25
10,2,0.97
10,4,1.02
10,8,0.96
10,16,1.07
10,32,1.16
10,64,1.37
10,128,1.57
10,256,1.79
10,512,2.06
10,1024,2.72
10,2048,3.98
10,4096,6.16
10,8192,9.51
10,16384,17.66
10,32768,31.03
10,65536,52.24
10,131072,95.85
10,262144,230.30
10,524288,508.20
10,1048576,1596.38
12,2,0.85
12,4,0.83
12,8,0.95
12,16,0.94
12,32,1.13
12,64,1.29
12,128,1.43
12,256,1.85
12,512,2.07
12,1024,2.91
12,2048,4.40
12,4096,6.82
12,8192,11.16
12,16384,21.00
12,32768,38.41
12,65536,58.61
12,131072,125.05
12,262144,298.08
12,524288,681.55
12,1048576,2209.50
14,2,0.81
14,4,0.82
14,8,0.84
14,16,0.98
14,32,1.06
14,64,1.39
14,128,1.60
14,256,1.77
14,512,2.31
14,1024,3.39
14,2048,5.44
14,4096,8.65
14,8192,14.55
14,16384,26.75
14,32768,51.73
14,65536,79.75
14,131072,215.38
14,262144,517.71
14,524288,1008.64
14,1048576,2908.99
16,2,1.36
16,4,1.34
16,8,1.38
16,16,1.61
16,32,1.92
16,64,2.22
16,128,2.49
16,256,2.90
16,512,3.55
16,1024,5.13
16,2048,7.60
16,4096,11.93
16,8192,20.10
16,16384,38.09
16,32768,58.17
16,65536,163.98
16,131072,309.44
16,262144,648.57
16,524288,1407.60
16,1048576,3795.44
18,2,2.40
18,4,2.47
18,8,2.61
18,16,2.80
18,32,3.09
18,64,3.55
18,128,3.91
18,256,4.35
18,512,5.32
18,1024,6.96
18,2048,9.72
18,4096,14.52
18,8192,24.93
18,16384,45.04
18,32768,77.11
18,65536,198.86
18,131072,296.75
18,262144,708.98
18,524288,1388.18
18,1048576,3701.01
20,2,2.21
20,4,2.31
20,8,2.46
20,16,2.56
20,32,3.18
20,64,3.35
20,128,3.70
20,256,4.37
20,512,5.29
20,1024,7.17
20,2048,10.41
20,4096,16.62
20,8192,29.07
20,16384,53.20
20,32768,94.16
20,65536,136.19
20,131072,316.89
20,262144,704.84
20,524288,1414.98
20,1048576,4034.68
22,2,2.02
22,4,2.15
22,8,2.17
22,16,2.71
22,32,3.06
22,64,3.23
22,128,3.77
22,256,4.47
22,512,5.44
22,1024,7.54
22,2048,11.67
22,4096,18.68
22,8192,33.30
22,16384,63.34
22,32768,111.08
22,65536,137.86
22,131072,354.13
22,262144,702.31
22,524288,1516.78
22,1048576,4365.21
24,2,1.88
24,4,2.04
24,8,2.18
24,16,2.83
24,32,2.99
24,64,3.07
24,128,3.74
24,256,4.34
24,512,5.76
24,1024,8.17
24,2048,12.67
24,4096,21.26
24,8192,38.89
24,16384,72.90
24,32768,70.86
24,65536,171.65
24,131072,367.80
24,262144,767.57
24,524288,1706.83
24,1048576,5142.49
26,2,1.84
26,4,1.83
26,8,2.05
26,16,2.26
26,32,2.69
26,64,2.87
26,128,3.47
26,256,4.16
26,512,5.93
26,1024,9.07
26,2048,13.96
26,4096,23.85
26,8192,43.14
26,16384,82.28
26,32768,71.19
26,65536,175.17
26,131072,393.65
26,262144,813.22
26,524288,1863.78
26,1048576,5526.57
28,2,1.64
28,4,2.13
28,8,2.02
28,16,2.09
28,32,2.51
28,64,2.88
28,128,3.46
28,256,4.27
28,512,5.98
28,1024,9.66
28,2048,15.26
28,4096,26.59
28,8192,48.38
28,16384,92.50
28,32768,74.70
28,65536,203.26
28,131072,463.35
28,262144,881.36
28,524288,2083.95
28,1048576,6003.51
30,2,1.54
30,4,1.95
30,8,1.88
30,16,2.11
30,32,2.43
30,64,3.41
30,128,3.66
30,256,4.58
30,512,6.59
30,1024,9.98
30,2048,16.82
30,4096,29.55
30,8192,54.30
30,16384,102.55
30,32768,86.67
30,65536,210.00
30,131072,490.56
30,262144,956.50
30,524288,2395.13
30,1048576,6542.97
32,2,2.16
32,4,2.07
32,8,2.83
32,16,2.78
32,32,3.33
32,64,3.87
32,128,4.73
32,256,5.86
32,512,8.15
32,1024,12.35
32,2048,19.71
32,4096,33.36
32,8192,60.72
32,16384,48.64
32,32768,101.23
32,65536,250.02
32,131072,497.22
32,262144,1074.76
32,524288,2841.37
32,1048576,7344.94
34,2,4.23
34,4,4.24
34,8,4.66
34,16,4.85
34,32,5.40
34,64,5.98
34,128,6.81
34,256,8.13
34,512,10.48
34,1024,14.44
34,2048,21.39
34,4096,35.05
34,8192,61.04
34,16384,53.71
34,32768,102.10
34,65536,233.98
34,131072,505.51
34,262144,1063.52
34,524288,2775.34
34,1048576,7146.99
36,2,3.88
36,4,4.15
36,8,4.45
36,16,4.62
36,32,5.12
36,64,5.83
36,128,6.61
36,256,7.86
36,512,10.02
36,1024,14.31
36,2048,20.79
36,4096,34.49
36,8192,58.68
36,16384,54.50
36,32768,103.45
36,65536,245.92
36,131072,510.26
36,262144,1055.89
36,524288,2721.93
36,1048576,7104.17
38,2,3.77
38,4,3.70
38,8,4.25
38,16,4.38
38,32,4.96
38,64,5.67
38,128,6.41
38,256,7.70
38,512,9.88
38,1024,13.89
38,2048,20.60
38,4096,33.80
38,8192,58.20
38,16384,56.24
38,32768,106.75
38,65536,254.58
38,131072,514.65
38,262144,1090.81
38,524288,2744.36
38,1048576,7039.64
40,2,3.41
40,4,3.84
40,8,3.89
40,16,4.07
40,32,4.84
40,64,5.41
40,128,6.15
40,256,7.50
40,512,9.99
40,1024,14.16
40,2048,20.90
40,4096,33.73
40,8192,59.27
40,16384,59.01
40,32768,129.03
40,65536,262.60
40,131072,530.24
