Processes,Latency
2,0.21
4,0.21
6,0.33
8,0.67
10,0.92
12,0.84
14,0.96
16,1.51
18,2.29
20,2.40
22,2.37
24,2.66
26,2.43
28,2.65
30,2.94
32,3.65
34,5.20
36,5.02
38,4.71
40,4.46
42,4.52
44,4.56
46,4.85
48,5.31
