Processes,Size,Latency
2,2,1.08
2,4,1.08
2,8,1.09
2,16,1.10
2,32,1.10
2,64,1.10
2,128,1.18
2,256,1.21
2,512,1.60
2,1024,1.68
2,2048,1.83
2,4096,2.41
2,8192,3.02
2,16384,4.09
2,32768,5.76
2,65536,8.84
2,131072,13.90
2,262144,24.08
2,524288,65.08
2,1048576,107.58
4,2,1.06
4,4,1.05
4,8,1.07
4,16,1.02
4,32,1.17
4,64,1.22
4,128,1.33
4,256,1.76
4,512,2.13
4,1024,2.35
4,2048,2.91
4,4096,4.03
4,8192,5.83
4,16384,8.69
4,32768,13.12
4,65536,21.46
4,131072,37.63
4,262144,67.31
4,524288,118.66
4,1048576,214.44
6,2,1.49
6,4,1.47
6,8,1.51
6,16,1.49
6,32,1.51
6,64,1.86
6,128,2.02
6,256,2.45
6,512,2.85
6,1024,3.20
6,2048,3.70
6,4096,5.30
6,8192,7.69
6,16384,11.39
6,32768,16.58
6,65536,26.82
6,131072,47.10
6,262144,88.66
6,524288,194.93
6,1048576,359.66
8,2,2.05
8,4,2.08
8,8,2.15
8,16,2.03
8,32,2.11
8,64,2.58
8,128,2.57
8,256,3.35
8,512,3.71
8,1024,4.13
8,2048,4.78
8,4096,6.74
8,8192,9.28
8,16384,13.33
8,32768,20.35
8,65536,32.26
8,131072,57.68
8,262144,103.13
8,524288,212.03
8,1048576,382.76
10,2,2.65
10,4,2.58
10,8,2.62
10,16,2.59
10,32,2.52
10,64,3.14
10,128,3.11
10,256,3.98
10,512,4.48
10,1024,4.89
10,2048,5.64
10,4096,7.80
10,8192,10.48
10,16384,14.84
10,32768,22.72
10,65536,35.78
10,131072,65.11
10,262144,118.22
10,524288,256.91
10,1048576,480.35
12,2,2.31
12,4,2.28
12,8,2.31
12,16,2.30
12,32,2.28
12,64,2.82
12,128,3.02
12,256,3.77
12,512,4.35
12,1024,4.76
12,2048,5.63
12,4096,7.90
12,8192,10.77
12,16384,15.91
12,32768,23.01
12,65536,39.06
12,131072,67.75
12,262144,124.74
12,524288,263.75
12,1048576,491.95
14,2,2.54
14,4,2.49
14,8,2.47
14,16,2.50
14,32,2.56
14,64,3.17
14,128,3.21
14,256,4.11
14,512,4.56
14,1024,5.05
