Processes,Latency
2,0.20
4,0.36
6,0.48
8,0.72
10,0.97
12,0.83
14,0.77
16,1.37
18,2.44
20,2.20
22,2.06
24,2.02
26,1.74
28,1.66
30,1.53
32,2.06
34,4.16
36,3.94
38,3.80
40,3.45
42,3.18
44,3.07
46,3.16
48,3.28
