Processes,Latency
2,0.38
4,0.43
6,0.62
8,0.89
10,1.10
12,1.04
14,0.99
16,1.15
18,1.48
20,1.30
22,1.24
24,1.30
26,1.53
28,1.30
30,1.05
32,1.63
34,3.74
36,3.50
38,3.30
40,3.16
42,3.01
44,3.26
46,3.05
48,3.04
