Processes,Size,Latency
2,2,0.28
2,4,0.28
2,8,0.28
2,16,0.27
2,32,0.27
2,64,0.37
2,128,0.38
2,256,0.50
2,512,0.51
2,1024,0.59
2,2048,0.67
2,4096,0.91
2,8192,1.43
2,16384,2.38
2,32768,4.24
2,65536,7.91
2,131072,14.94
2,262144,28.61
2,524288,31.80
2,1048576,65.64
4,2,0.50
4,4,0.51
4,8,0.50
4,16,0.51
4,32,0.49
4,64,0.64
4,128,0.59
4,256,0.87
4,512,0.95
4,1024,1.03
4,2048,1.31
4,4096,1.86
4,8192,2.94
4,16384,4.98
4,32768,7.89
4,65536,13.55
4,131072,24.99
4,262144,48.64
4,524288,88.65
4,1048576,168.04
6,2,0.70
6,4,0.70
6,8,0.68
6,16,0.69
6,32,0.75
6,64,0.87
6,128,0.83
6,256,1.22
6,512,1.28
6,1024,1.38
6,2048,1.96
6,4096,2.62
6,8192,3.93
6,16384,6.27
6,32768,10.07
6,65536,17.39
6,131072,32.39
6,262144,62.60
6,524288,138.73
6,1048576,270.05
8,2,0.89
8,4,0.91
8,8,0.88
8,16,0.91
8,32,0.87
8,64,1.15
8,128,1.10
8,256,1.53
8,512,1.62
8,1024,1.79
8,2048,2.26
8,4096,3.29
8,8192,4.71
8,16384,7.27
8,32768,11.34
8,65536,20.19
8,131072,36.74
8,262144,68.72
8,524288,161.95
8,1048576,317.29
10,2,1.34
10,4,1.31
10,8,1.33
10,16,1.35
10,32,1.31
10,64,1.56
10,128,1.47
10,256,2.02
10,512,2.14
10,1024,2.17
10,2048,2.67
10,4096,3.81
10,8192,5.26
10,16384,8.26
10,32768,12.68
10,65536,22.22
10,131072,39.77
10,262144,74.99
10,524288,185.01
10,1048576,359.48
12,2,1.23
12,4,1.20
12,8,1.25
12,16,1.20
12,32,1.20
12,64,1.83
12,128,1.43
12,256,1.96
12,512,1.97
12,1024,2.17
12,2048,2.74
12,4096,3.92
12,8192,5.59
12,16384,8.95
12,32768,13.82
12,65536,23.71
12,131072,43.20
12,262144,82.38
12,524288,193.54
12,1048576,383.59
14,2,1.41
14,4,1.38
14,8,1.41
14,16,1.79
14,32,1.46
14,64,1.79
14,128,1.69
14,256,2.53
14,512,2.56
14,1024,2.72
14,2048,3.35
14,4096,4.84
14,8192,6.77
14,16384,10.33
14,32768,17.68
14,65536,30.59
14,131072,57.11
14,262144,108.22
14,524288,260.39
14,1048576,531.02
16,2,1.60
16,4,1.63
16,8,2.05
16,16,1.71
16,32,1.60
16,64,2.01
16,128,1.97
16,256,2.86
16,512,2.99
16,1024,3.17
16,2048,3.84
16,4096,5.35
16,8192,7.41
16,16384,11.34
16,32768,19.09
16,65536,32.77
16,131072,61.53
16,262144,115.04
16,524288,281.55
16,1048576,618.30
18,2,2.73
18,4,3.33
18,8,2.75
18,16,2.74
18,32,2.73
18,64,3.29
18,128,3.12
18,256,3.98
18,512,4.13
18,1024,4.31
18,2048,5.18
18,4096,6.95
18,8192,9.18
18,16384,13.38
18,32768,21.43
18,65536,35.90
18,131072,65.10
18,262144,123.14
18,524288,346.82
18,1048576,632.20
20,2,2.68
20,4,3.35
20,8,2.67
20,16,2.73
20,32,2.69
20,64,3.15
20,128,3.08
20,256,3.94
20,512,3.98
20,1024,4.34
20,2048,5.22
20,4096,6.86
20,8192,9.11
20,16384,13.86
20,32768,22.45
20,65536,37.96
20,131072,68.43
20,262144,130.67
20,524288,370.20
20,1048576,733.14
22,2,2.75
22,4,3.08
22,8,2.70
22,16,2.76
22,32,2.60
22,64,3.19
22,128,3.07
22,256,3.89
22,512,3.99
22,1024,4.33
22,2048,5.27
22,4096,6.92
22,8192,10.03
22,16384,14.16
22,32768,22.94
22,65536,38.68
22,131072,69.98
22,262144,135.01
22,524288,329.52
22,1048576,649.18
24,2,2.67
24,4,2.85
24,8,2.57
24,16,2.64
24,32,2.69
24,64,3.23
24,128,3.00
24,256,3.95
24,512,4.09
24,1024,4.30
24,2048,5.45
24,4096,7.11
24,8192,9.64
24,16384,14.85
24,32768,24.05
24,65536,40.30
24,131072,74.05
24,262144,140.59
24,524288,356.39
24,1048576,669.96
26,2,2.76
26,4,2.47
26,8,2.55
26,16,2.57
26,32,2.54
26,64,3.03
26,128,3.02
26,256,3.87
26,512,3.98
26,1024,4.25
26,2048,5.36
26,4096,7.37
26,8192,9.97
26,16384,15.39
26,32768,24.19
26,65536,42.26
26,131072,73.40
26,262144,140.36
26,524288,345.42
26,1048576,676.53
28,2,2.44
28,4,2.33
28,8,2.43
28,16,2.41
28,32,2.37
28,64,2.77
28,128,2.77
28,256,3.73
28,512,3.92
28,1024,4.20
28,2048,5.18
28,4096,7.46
28,8192,9.99
28,16384,15.77
28,32768,24.65
28,65536,41.96
28,131072,75.80
28,262144,145.83
28,524288,368.19
28,1048576,712.41
30,2,2.34
30,4,2.35
30,8,2.36
30,16,2.33
30,32,2.30
30,64,2.76
30,128,2.71
30,256,3.60
30,512,3.89
30,1024,4.20
30,2048,5.29
30,4096,7.24
30,8192,10.27
30,16384,16.19
30,32768,25.43
30,65536,44.17
30,131072,79.25
30,262144,152.95
30,524288,381.55
30,1048576,737.98
32,2,2.55
32,4,2.58
32,8,2.60
32,16,2.52
32,32,2.56
32,64,3.24
32,128,3.13
32,256,4.29
32,512,4.44
32,1024,4.70
32,2048,5.98
32,4096,7.76
32,8192,10.90
32,16384,17.46
32,32768,27.62
32,65536,46.09
32,131072,83.57
32,262144,160.67
32,524288,413.51
32,1048576,798.20
34,2,4.53
34,4,4.49
34,8,4.52
34,16,4.57
34,32,4.49
34,64,5.15
34,128,5.03
34,256,6.14
34,512,6.43
34,1024,6.97
34,2048,7.98
34,4096,10.22
34,8192,13.68
34,16384,20.43
34,32768,30.94
34,65536,51.46
34,131072,91.90
34,262144,175.06
34,524288,439.39
34,1048576,877.95
36,2,4.45
36,4,4.45
36,8,4.36
36,16,4.29
36,32,4.31
36,64,4.86
36,128,4.74
36,256,5.86
36,512,6.20
36,1024,6.53
36,2048,7.73
36,4096,9.94
36,8192,13.43
36,16384,20.46
36,32768,31.78
36,65536,54.03
36,131072,97.95
36,262144,188.38
36,524288,481.99
36,1048576,925.48
38,2,4.11
38,4,4.11
38,8,4.19
38,16,4.07
38,32,4.08
38,64,4.73
38,128,4.45
38,256,5.37
38,512,5.66
38,1024,6.18
38,2048,7.33
38,4096,9.66
38,8192,13.63
38,16384,20.74
38,32768,32.99
38,65536,56.27
38,131072,104.14
38,262144,200.91
38,524288,547.31
38,1048576,1072.27
40,2,4.05
40,4,4.06
40,8,4.01
40,16,3.99
40,32,4.01
40,64,4.39
40,128,4.49
40,256,5.34
40,512,5.72
40,1024,6.08
40,2048,7.39
40,4096,9.61
40,8192,13.65
40,16384,21.61
40,32768,34.34
40,65536,59.40
40,131072,110.74
40,262144,213.83
40,524288,559.41
40,1048576,1083.92
42,2,3.82
42,4,3.69
42,8,3.71
42,16,3.68
42,32,3.70
42,64,4.24
42,128,4.19
42,256,5.26
42,512,5.56
42,1024,5.97
42,2048,7.36
42,4096,9.73
42,8192,13.68
42,16384,21.58
42,32768,34.69
42,65536,60.05
42,131072,113.48
42,262144,219.28
42,524288,556.01
42,1048576,1081.61
44,2,3.62
44,4,3.64
