Processes,Latency
2,1.00
4,0.34
6,0.51
8,1.93
10,2.04
12,2.19
14,2.08
16,2.34
18,2.65
20,2.73
22,2.67
24,2.91
26,2.86
28,3.00
30,3.07
32,3.51
34,4.21
36,4.12
38,4.43
40,4.54
42,4.22
44,4.35
46,4.28
48,4.50
