Processes,Latency
2,0.38
4,0.80
6,1.49
8,2.24
10,3.04
12,3.40
14,3.92
16,4.40
18,6.30
20,6.61
22,6.34
24,6.82
26,6.80
28,7.32
30,7.68
32,9.37
34,11.34
36,11.63
38,11.96
40,12.53
42,12.67
44,13.24
46,13.66
48,13.96
