Processes,Size,Latency
2,2,0.37
2,4,0.35
2,8,0.35
2,16,0.35
2,32,0.54
2,64,0.48
2,128,0.75
2,256,0.78
2,512,0.82
2,1024,1.02
2,2048,1.30
2,4096,1.99
2,8192,3.39
2,16384,3.60
2,32768,5.95
2,65536,7.10
2,131072,10.68
2,262144,16.18
2,524288,29.11
2,1048576,61.68
4,2,0.31
4,4,0.35
4,8,0.34
4,16,0.30
4,32,0.59
4,64,0.51
4,128,1.05
4,256,1.11
4,512,1.23
4,1024,1.58
4,2048,2.35
4,4096,3.81
4,8192,5.80
4,16384,9.11
4,32768,14.12
4,65536,22.56
4,131072,38.79
4,262144,75.16
4,524288,152.70
4,1048576,327.43
6,2,0.63
6,4,0.62
6,8,0.63
6,16,0.62
6,32,0.70
6,64,0.74
6,128,1.59
6,256,1.61
6,512,1.84
6,1024,2.37
6,2048,3.39
6,4096,5.12
6,8192,7.85
6,16384,11.08
6,32768,17.91
6,65536,35.57
6,131072,67.03
6,262144,127.12
6,524288,246.64
6,1048576,465.18
8,2,1.13
8,4,1.16
8,8,1.15
8,16,1.17
8,32,1.29
8,64,1.35
8,128,2.60
8,256,2.51
8,512,2.78
8,1024,3.55
8,2048,4.65
8,4096,6.64
8,8192,10.09
8,16384,13.31
8,32768,22.46
8,65536,45.49
8,131072,91.90
8,262144,179.31
8,524288,373.39
8,1048576,540.76
10,2,1.42
10,4,1.44
10,8,1.37
10,16,1.46
10,32,1.73
10,64,1.58
10,128,2.99
10,256,3.15
10,512,3.37
10,1024,4.62
10,2048,5.70
10,4096,8.00
10,8192,12.09
10,16384,15.63
10,32768,26.92
10,65536,54.20
10,131072,113.11
10,262144,227.60
10,524288,418.73
10,1048576,790.53
12,2,1.55
12,4,1.45
12,8,1.46
12,16,1.45
12,32,2.01
12,64,1.61
12,128,3.24
12,256,3.35
12,512,3.79
12,1024,5.15
12,2048,6.47
12,4096,9.22
12,8192,14.17
12,16384,18.68
12,32768,32.21
12,65536,65.43
12,131072,131.58
12,262144,263.12
12,524288,532.07
12,1048576,788.59
14,2,1.45
14,4,1.51
14,8,1.44
14,16,1.60
14,32,1.69
14,64,1.59
14,128,3.51
14,256,3.71
14,512,3.97
14,1024,5.82
14,2048,7.02
14,4096,10.01
14,8192,15.30
14,16384,20.88
14,32768,36.05
14,65536,76.39
14,131072,151.18
14,262144,312.23
14,524288,598.58
14,1048576,1065.16
16,2,1.82
16,4,1.76
16,8,1.81
16,16,1.77
16,32,2.11
16,64,1.94
16,128,4.37
16,256,4.47
16,512,4.72
16,1024,6.52
16,2048,8.18
16,4096,11.27
16,8192,17.31
16,16384,23.17
16,32768,41.98
16,65536,85.12
16,131072,171.86
16,262144,342.95
16,524288,651.13
16,1048576,1205.90
18,2,2.12
18,4,2.08
18,8,2.02
18,16,2.08
18,32,2.26
18,64,2.21
18,128,4.76
18,256,4.80
18,512,5.36
18,1024,7.71
18,2048,9.29
18,4096,12.86
18,8192,19.51
18,16384,25.86
18,32768,47.14
18,65536,94.66
18,131072,191.43
18,262144,301.03
18,524288,754.48
18,1048576,1362.82
20,2,2.17
20,4,2.20
20,8,2.43
20,16,2.17
20,32,2.48
20,64,2.34
20,128,5.03
20,256,5.18
20,512,5.67
20,1024,8.06
20,2048,9.90
20,4096,14.05
20,8192,20.70
20,16384,29.05
20,32768,51.14
20,65536,101.82
20,131072,211.59
20,262144,408.05
20,524288,707.78
20,1048576,1484.41
22,2,2.30
22,4,2.20
22,8,2.57
22,16,2.30
22,32,2.52
22,64,2.44
22,128,5.41
22,256,5.57
22,512,5.98
22,1024,8.73
22,2048,10.72
22,4096,14.74
22,8192,22.60
22,16384,31.91
22,32768,53.52
22,65536,111.34
22,131072,230.66
22,262144,459.50
22,524288,933.19
22,1048576,1712.30
24,2,2.43
24,4,2.48
24,8,2.72
24,16,2.49
24,32,2.64
24,64,2.64
24,128,5.93
24,256,6.11
24,512,6.40
24,1024,9.24
24,2048,11.42
24,4096,16.15
24,8192,24.23
24,16384,34.11
24,32768,60.71
24,65536,123.07
24,131072,242.14
24,262144,500.34
24,524288,968.01
24,1048576,1816.79
26,2,2.23
26,4,2.34
26,8,2.21
