Processes,Size,Latency
2,2,0.40
2,4,0.37
2,8,0.38
2,16,0.38
2,32,0.66
2,64,0.55
2,128,0.80
2,256,0.85
2,512,0.92
2,1024,0.99
2,2048,1.38
2,4096,2.03
2,8192,3.80
2,16384,6.76
2,32768,12.66
2,65536,24.59
2,131072,46.91
2,262144,26.34
2,524288,49.95
2,1048576,121.42
4,2,0.43
4,4,0.46
4,8,0.44
4,16,0.45
4,32,0.66
4,64,0.68
4,128,0.95
4,256,1.02
4,512,1.26
4,1024,1.71
4,2048,2.33
4,4096,3.73
4,8192,6.11
4,16384,11.19
4,32768,20.18
4,65536,39.04
4,131072,67.58
4,262144,104.47
4,524288,227.66
4,1048576,496.05
6,2,0.62
6,4,0.62
6,8,0.62
6,16,0.65
6,32,0.65
6,64,0.83
6,128,1.23
6,256,1.27
6,512,1.58
6,1024,2.11
6,2048,3.07
6,4096,4.65
6,8192,7.64
6,16384,13.57
6,32768,25.60
6,65536,49.32
6,131072,79.93
6,262144,233.96
6,524288,470.08
6,1048576,965.02
8,2,0.88
8,4,0.91
8,8,0.93
8,16,0.92
8,32,1.11
8,64,1.22
8,128,1.64
8,256,1.83
8,512,2.19
8,1024,2.97
8,2048,4.44
8,4096,6.59
8,8192,10.84
8,16384,19.19
8,32768,36.39
8,65536,57.81
8,131072,118.54
8,262144,340.25
8,524288,710.50
8,1048576,1439.04
10,2,1.13
10,4,1.13
10,8,1.11
10,16,1.14
10,32,1.30
10,64,1.55
10,128,1.96
10,256,2.07
10,512,2.48
10,1024,3.36
10,2048,4.90
10,4096,7.45
10,8192,11.72
10,16384,20.51
10,32768,39.32
10,65536,68.46
10,131072,121.30
10,262144,366.90
10,524288,736.81
10,1048576,1726.62
12,2,1.05
12,4,0.98
12,8,1.14
12,16,1.08
12,32,1.32
12,64,1.79
12,128,1.85
12,256,2.11
12,512,2.63
12,1024,3.58
12,2048,5.19
12,4096,7.99
12,8192,13.69
12,16384,23.91
12,32768,46.37
12,65536,67.22
12,131072,149.82
12,262144,407.61
12,524288,943.69
12,1048576,2256.29
14,2,0.99
14,4,0.97
14,8,1.09
14,16,1.14
14,32,1.32
14,64,1.48
14,128,1.88
14,256,2.13
14,512,2.77
14,1024,4.11
14,2048,5.99
14,4096,9.12
14,8192,15.22
14,16384,27.18
14,32768,53.03
14,65536,81.32
14,131072,192.08
14,262144,552.64
14,524288,1160.74
14,1048576,2893.48
16,2,1.12
16,4,1.17
16,8,1.17
16,16,1.30
16,32,1.56
16,64,1.94
16,128,2.17
16,256,2.50
16,512,3.29
16,1024,5.04
16,2048,7.08
16,4096,10.90
16,8192,18.35
16,16384,34.05
16,32768,51.89
16,65536,113.31
16,131072,252.91
16,262144,673.23
16,524288,1473.75
16,1048576,4036.14
18,2,1.45
18,4,1.46
18,8,1.53
18,16,1.70
18,32,1.87
18,64,2.11
18,128,2.65
18,256,2.85
18,512,3.68
18,1024,5.27
18,2048,7.47
18,4096,11.68
18,8192,19.12
18,16384,34.91
18,32768,57.14
18,65536,114.91
18,131072,244.53
18,262144,691.20
18,524288,1520.15
18,1048576,4257.85
20,2,1.25
20,4,1.37
20,8,1.42
20,16,1.54
20,32,2.30
20,64,1.92
20,128,2.45
20,256,2.85
20,512,3.58
20,1024,5.12
20,2048,7.61
20,4096,11.78
20,8192,20.04
20,16384,36.91
20,32768,65.24
20,65536,111.91
20,131072,262.99
20,262144,758.85
20,524288,1701.09
20,1048576,4585.14
22,2,1.24
22,4,1.22
22,8,1.32
22,16,1.47
22,32,2.08
22,64,1.87
22,128,2.48
22,256,2.76
22,512,3.66
22,1024,5.26
22,2048,7.91
22,4096,13.00
22,8192,21.67
22,16384,39.71
22,32768,67.29
22,65536,117.77
22,131072,294.24
22,262144,780.49
22,524288,1941.63
22,1048576,5001.42
24,2,1.25
24,4,1.32
24,8,1.38
24,16,1.49
24,32,2.18
24,64,1.90
24,128,2.53
24,256,2.83
24,512,3.83
24,1024,5.58
24,2048,8.39
24,4096,13.59
24,8192,23.06
24,16384,43.09
24,32768,63.20
24,65536,138.93
24,131072,332.22
24,262144,877.84
24,524288,2354.47
24,1048576,5972.63
26,2,1.53
26,4,1.55
26,8,1.91
26,16,1.74
26,32,1.90
26,64,2.16
26,128,2.63
26,256,2.95
26,512,3.89
26,1024,5.72
26,2048,8.91
26,4096,14.45
26,8192,24.97
26,16384,45.42
26,32768,68.72
26,65536,158.85
26,131072,362.73
26,262144,970.38
26,524288,2549.55
26,1048576,6372.73
28,2,1.26
28,4,1.30
28,8,1.64
28,16,1.47
28,32,1.71
28,64,1.96
28,128,2.40
28,256,2.85
28,512,4.04
28,1024,6.20
28,2048,9.25
28,4096,15.20
28,8192,26.99
28,16384,50.78
28,32768,77.45
28,65536,182.46
28,131072,395.03
28,262144,1036.94
28,524288,2772.87
28,1048576,6750.19
30,2,1.10
30,4,1.11
30,8,1.42
30,16,1.28
30,32,1.54
30,64,1.88
30,128,2.43
30,256,2.94
30,512,4.21
30,1024,6.48
30,2048,10.22
30,4096,16.85
30,8192,29.96
30,16384,56.19
30,32768,86.63
30,65536,200.77
30,131072,434.23
30,262144,1120.30
30,524288,3088.98
30,1048576,7241.18
32,2,1.63
32,4,1.69
32,8,2.26
32,16,2.03
32,32,2.31
32,64,2.67
32,128,3.30
32,256,4.14
32,512,5.88
32,1024,8.14
32,2048,12.22
32,4096,19.93
32,8192,33.63
32,16384,51.94
32,32768,101.17
32,65536,223.31
32,131072,484.71
32,262144,1294.19
32,524288,3536.66
32,1048576,8075.04
34,2,3.71
34,4,4.05
34,8,3.91
34,16,4.05
34,32,4.36
34,64,4.78
34,128,5.61
34,256,6.64
34,512,8.07
34,1024,10.47
34,2048,14.34
34,4096,21.73
34,8192,35.16
34,16384,55.10
34,32768,101.15
34,65536,219.37
34,131072,496.89
34,262144,1251.42
34,524288,3449.40
34,1048576,7903.88
36,2,3.49
36,4,3.64
36,8,3.64
36,16,3.73
36,32,4.02
36,64,4.60
36,128,5.41
36,256,6.34
36,512,7.75
36,1024,10.78
36,2048,14.56
36,4096,21.53
36,8192,34.99
36,16384,55.62
36,32768,102.05
36,65536,235.85
36,131072,506.80
36,262144,1238.88
36,524288,3388.63
36,1048576,7647.26
38,2,3.83
38,4,3.54
38,8,3.51
38,16,3.49
38,32,3.91
38,64,4.34
38,128,5.06
38,256,6.13
38,512,7.63
38,1024,10.25
38,2048,14.46
38,4096,21.86
38,8192,36.07
38,16384,55.21
38,32768,105.39
38,65536,239.78
38,131072,507.96
38,262144,1250.14
38,524288,3357.23
38,1048576,7421.47
40,2,3.14
40,4,3.18
40,8,3.27
40,16,
40,32,
40,64,
40,128,
40,256,
40,512,
40,1024,
40,2048,
40,4096,
40,8192,
40,16384,
40,32768,
40,65536,
40,131072,
40,262144,
40,524288,
40,1048576,
42,2,
42,4,
42,8,
42,16,
42,32,
42,64,
42,128,
42,256,
42,512,
42,1024,
42,2048,
42,4096,
42,8192,
42,16384,
42,32768,
42,65536,
42,131072,
42,262144,
42,524288,
42,1048576,
44,2,
44,4,
44,8,
44,16,
44,32,
44,64,
44,128,
44,256,
44,512,
44,1024,
44,2048,
44,4096,
44,8192,
44,16384,
44,32768,
44,65536,
44,131072,
44,262144,
44,524288,
44,1048576,
46,2,
46,4,
46,8,
46,16,
46,32,
46,64,
46,128,
46,256,
46,512,
46,1024,
46,2048,
46,4096,
46,8192,
46,16384,
46,32768,
46,65536,
46,131072,
46,262144,
46,524288,
46,1048576,
48,2,
48,4,
48,8,
48,16,
48,32,
48,64,
48,128,
48,256,
48,512,
48,1024,
48,2048,
48,4096,
48,8192,
48,16384,
48,32768,
48,65536,
48,131072,
48,262144,
48,524288,
48,1048576,
