Processes,Latency
2,1.04
4,1.33
6,2.46
8,4.72
10,5.66
12,7.15
14,7.88
16,9.19
18,10.13
20,11.68
22,12.50
24,13.93
26,14.63
28,16.12
30,16.97
32,18.46
34,19.44
36,21.11
38,21.91
40,23.76
42,24.18
44,25.93
46,26.70
48,28.27
