Processes,Latency
2,0.21
4,0.35
6,0.49
8,0.69
10,0.88
12,0.89
14,0.78
16,1.26
18,2.49
20,2.21
22,1.99
24,2.03
26,1.81
28,1.66
30,1.56
32,2.07
34,4.52
36,3.95
38,3.61
40,3.50
42,3.48
44,3.41
46,3.06
48,3.07
