Processes,Latency
2,1.01
4,0.39
6,0.74
8,1.37
10,2.37
12,2.52
14,2.17
16,2.51
18,3.40
20,4.45
22,3.96
24,4.24
26,4.44
28,4.67
30,4.49
32,4.90
34,5.59
36,6.31
38,5.93
40,6.38
42,6.82
44,7.10
46,7.09
48,7.37
