Processes,Size,Latency
2,2,0.38
2,4,0.37
2,8,0.36
2,16,0.37
2,32,0.48
2,64,0.52
2,128,0.77
2,256,0.81
2,512,0.90
2,1024,0.96
2,2048,1.37
2,4096,2.02
2,8192,3.55
2,16384,6.74
2,32768,12.51
2,65536,24.17
2,131072,14.62
2,262144,25.45
2,524288,51.56
2,1048576,117.37
4,2,0.44
4,4,0.45
4,8,0.44
4,16,0.47
4,32,0.63
4,64,0.71
4,128,0.93
4,256,0.97
4,512,1.24
4,1024,1.70
4,2048,2.57
4,4096,3.68
4,8192,6.09
4,16384,10.92
4,32768,11.63
4,65536,17.12
4,131072,34.52
4,262144,65.45
4,524288,148.64
4,1048576,224.17
6,2,0.61
6,4,0.61
6,8,0.61
6,16,0.63
6,32,0.66
6,64,0.81
6,128,1.22
6,256,1.25
6,512,1.57
6,1024,2.09
6,2048,3.50
6,4096,4.72
6,8192,8.30
6,16384,14.71
6,32768,13.31
6,65536,28.93
6,131072,60.13
6,262144,106.03
6,524288,185.75
6,1048576,356.45
8,2,0.89
8,4,0.90
8,8,0.90
8,16,0.94
8,32,1.11
8,64,1.28
8,128,1.63
8,256,1.87
8,512,2.22
8,1024,2.94
8,2048,4.63
8,4096,6.61
8,8192,10.99
8,16384,10.16
8,32768,17.24
8,65536,38.12
8,131072,80.44
8,262144,105.41
8,524288,211.52
8,1048576,456.87
10,2,1.15
10,4,1.10
10,8,1.16
10,16,1.19
10,32,1.36
10,64,1.60
10,128,2.05
10,256,2.08
10,512,2.50
10,1024,3.35
10,2048,4.88
10,4096,7.16
10,8192,11.74
10,16384,11.74
10,32768,21.22
10,65536,44.14
10,131072,62.64
10,262144,138.60
10,524288,168.85
10,1048576,546.66
12,2,0.99
12,4,1.05
12,8,1.12
12,16,1.12
12,32,1.26
12,64,1.74
12,128,1.86
12,256,2.07
12,512,2.59
12,1024,3.63
12,2048,5.27
12,4096,8.05
12,8192,13.52
12,16384,15.41
12,32768,23.77
12,65536,48.93
12,131072,76.79
12,262144,142.29
12,524288,207.76
12,1048576,646.74
14,2,1.00
14,4,0.98
14,8,1.05
14,16,1.24
14,32,1.34
14,64,1.60
14,128,1.92
14,256,2.20
14,512,2.77
14,1024,3.93
14,2048,6.05
14,4096,9.23
14,8192,15.24
14,16384,17.69
14,32768,26.64
14,65536,58.82
14,131072,128.21
14,262144,166.20
14,524288,235.04
14,1048576,750.26
16,2,1.15
16,4,1.17
16,8,1.23
16,16,1.35
16,32,1.51
16,64,1.92
16,128,2.19
16,256,2.56
16,512,3.27
16,1024,4.79
16,2048,7.00
16,4096,10.81
16,8192,19.03
16,16384,33.59
16,32768,31.06
16,65536,66.73
16,131072,143.85
16,262144,170.06
16,524288,247.52
16,1048576,265.79
18,2,1.40
18,4,1.46
18,8,1.46
18,16,1.67
18,32,1.94
18,64,2.03
18,128,2.61
18,256,2.93
18,512,3.71
18,1024,5.20
18,2048,7.57
18,4096,11.64
18,8192,19.65
18,16384,37.38
18,32768,34.85
18,65536,62.71
18,131072,109.79
18,262144,164.22
18,524288,203.74
18,1048576,269.69
20,2,1.31
20,4,1.31
20,8,1.40
20,16,1.51
20,32,1.84
20,64,1.92
20,128,2.48
20,256,2.82
20,512,3.63
20,1024,5.17
20,2048,7.56
20,4096,11.82
20,8192,19.92
20,16384,41.37
20,32768,39.19
20,65536,71.18
20,131072,138.63
20,262144,170.63
20,524288,212.26
20,1048576,294.25
22,2,1.21
22,4,1.27
22,8,1.33
22,16,1.45
22,32,1.94
22,64,1.90
22,128,2.48
22,256,2.80
22,512,3.69
22,1024,5.43
22,2048,8.12
22,4096,12.69
22,8192,22.71
22,16384,43.47
22,32768,44.05
22,65536,90.99
22,131072,135.71
22,262144,224.26
22,524288,250.33
22,1048576,286.78
24,2,1.25
24,4,1.30
24,8,1.39
24,16,1.51
24,32,1.95
24,64,1.98
24,128,2.46
24,256,2.81
24,512,3.91
24,1024,5.52
24,2048,8.46
24,4096,13.38
24,8192,23.27
24,16384,47.56
24,32768,34.26
24,65536,65.61
24,131072,148.57
24,262144,177.50
24,524288,265.73
24,1048576,309.69
26,2,1.52
26,4,1.96
26,8,1.85
26,16,1.69
26,32,1.93
26,64,2.12
26,128,2.59
26,256,2.98
26,512,3.92
26,1024,5.75
26,2048,9.10
26,4096,14.32
26,8192,24.58
26,16384,50.48
26,32768,43.79
26,65536,77.03
26,131072,122.98
26,262144,204.73
26,524288,267.25
26,1048576,307.69
28,2,1.26
28,4,1.29
28,8,1.66
28,16,1.47
28,32,1.71
28,64,1.94
28,128,2.44
28,256,2.84
28,512,4.07
28,1024,6.07
28,2048,9.15
28,4096,15.63
28,8192,26.35
28,16384,52.72
28,32768,42.03
28,65536,86.89
28,131072,121.17
28,262144,158.39
28,524288,258.91
28,1048576,347.08
30,2,1.03
30,4,1.48
30,8,1.52
30,16,1.28
30,32,1.62
30,64,1.88
30,128,2.46
30,256,2.98
30,512,4.17
30,1024,6.57
30,2048,9.91
30,4096,16.62
30,8192,28.99
30,16384,55.37
30,32768,34.61
30,65536,76.13
30,131072,132.20
30,262144,169.94
30,524288,277.09
30,1048576,367.86
32,2,1.67
32,4,1.65
32,8,2.07
32,16,1.98
32,32,2.49
32,64,2.61
32,128,3.32
32,256,4.13
32,512,9.21
32,1024,12.10
32,2048,15.50
32,4096,21.55
32,8192,34.35
32,16384,26.35
32,32768,41.14
32,65536,62.05
32,131072,118.60
32,262144,173.31
32,524288,296.78
32,1048576,443.65
34,2,3.70
34,4,3.89
34,8,3.93
34,16,4.05
34,32,4.43
34,64,4.75
34,128,5.59
34,256,6.46
34,512,11.17
34,1024,14.23
34,2048,17.48
34,4096,23.43
34,8192,36.37
34,16384,27.90
34,32768,45.23
34,65536,75.51
34,131072,134.09
34,262144,234.23
34,524288,333.18
34,1048576,526.99
36,2,3.67
36,4,3.50
36,8,3.67
36,16,3.74
36,32,4.14
36,64,4.57
36,128,5.27
36,256,6.24
36,512,11.38
36,1024,14.36
36,2048,17.75
36,4096,25.08
36,8192,34.93
36,16384,27.69
36,32768,37.34
36,65536,86.72
36,131072,141.94
36,262144,207.55
36,524288,355.43
36,1048576,605.04
38,2,3.42
38,4,3.31
38,8,3.49
38,16,3.54
38,32,3.88
38,64,4.42
38,128,5.20
38,256,6.12
38,512,11.55
38,1024,14.66
38,2048,18.06
38,4096,25.38
38,8192,35.40
38,16384,28.17
38,32768,45.57
38,65536,71.53
38,131072,141.96
38,262144,230.37
38,524288,408.57
38,1048576,698.98
40,2,3.15
40,4,3.13
40,8,3.28
40,16,3.38
40,32,3.87
40,64,4.24
40,128,5.03
40,256,5.92
40,512,11.99
40,1024,15.08
40,2048,19.06
40,4096,26.22
40,8192,37.33
40,16384,27.91
40,32768,46.32
40,65536,71.50
40,131072,151.93
40,262144,257.04
40,524288,463.69
40,1048576,812.72
42,2,3.00
42,4,3.05
42,8,3.13
42,16,3.30
42,32,3.78
42,64,4.05
42,128,4.84
42,256,5.89
42,512,11.86
42,1024,15.32
42,2048,18.91
42,4096,26.70
42,8192,37.67
42,16384,26.83
