Processes,Size,Latency
2,2,1.02
2,4,1.04
2,8,1.03
2,16,1.06
2,32,1.08
2,64,1.30
2,128,1.32
2,256,1.26
2,512,1.33
2,1024,1.70
2,2048,2.05
2,4096,2.57
2,8192,3.43
2,16384,4.72
2,32768,6.88
2,65536,11.09
2,131072,18.51
2,262144,42.43
2,524288,74.34
2,1048576,158.21
4,2,0.41
4,4,0.38
4,8,0.37
4,16,0.57
4,32,0.50
4,64,1.14
4,128,1.20
4,256,1.42
4,512,1.67
4,1024,2.35
4,2048,3.51
4,4096,5.50
4,8192,9.29
4,16384,15.61
4,32768,29.69
4,65536,54.75
4,131072,42.12
4,262144,85.27
4,524288,169.37
4,1048576,357.59
6,2,0.51
6,4,0.51
6,8,0.51
6,16,0.66
6,32,0.66
6,64,1.07
6,128,1.18
6,256,1.42
6,512,1.66
6,1024,2.36
6,2048,3.68
6,4096,5.57
6,8192,9.17
6,16384,16.25
6,32768,28.97
6,65536,53.76
6,131072,52.32
6,262144,115.61
6,524288,241.10
6,1048576,515.00
8,2,1.82
8,4,1.80
8,8,1.87
8,16,2.37
8,32,2.13
8,64,3.03
8,128,2.73
8,256,3.33
8,512,3.73
8,1024,4.71
8,2048,6.48
8,4096,9.52
8,8192,14.97
8,16384,26.02
8,32768,47.90
8,65536,76.18
8,131072,119.12
8,262144,255.66
8,524288,519.84
8,1048576,1085.63
10,2,2.01
10,4,2.06
10,8,2.42
10,16,2.35
10,32,2.28
10,64,2.79
10,128,2.87
10,256,3.35
10,512,3.95
10,1024,4.99
10,2048,6.89
10,4096,9.67
10,8192,15.31
10,16384,25.27
10,32768,46.81
10,65536,79.65
10,131072,170.52
10,262144,301.37
10,524288,613.54
10,1048576,1335.35
12,2,2.01
12,4,1.97
12,8,2.30
12,16,2.44
12,32,2.44
12,64,3.08
12,128,3.19
12,256,3.53
12,512,4.10
12,1024,5.32
12,2048,7.32
12,4096,11.07
12,8192,17.81
12,16384,30.74
12,32768,55.33
12,65536,85.41
12,131072,240.38
12,262144,441.39
12,524288,879.55
12,1048576,1953.21
14,2,1.93
14,4,1.95
14,8,2.31
14,16,2.26
14,32,2.33
14,64,2.83
14,128,3.06
14,256,3.52
14,512,4.19
14,1024,5.42
14,2048,7.74
14,4096,11.38
14,8192,18.70
14,16384,32.94
14,32768,60.74
14,65536,99.42
14,131072,249.94
14,262144,546.97
14,524288,1069.20
14,1048576,2602.40
16,2,2.02
16,4,2.11
16,8,2.46
16,16,2.33
16,32,2.51
16,64,3.22
16,128,3.35
16,256,3.83
16,512,4.55
16,1024,6.32
16,2048,9.02
16,4096,13.79
16,8192,23.31
16,16384,41.33
16,32768,69.27
16,65536,132.23
16,131072,364.11
16,262144,725.85
16,524288,1468.98
16,1048576,3690.06
18,2,2.45
18,4,2.47
18,8,2.63
18,16,2.69
18,32,2.73
18,64,3.49
18,128,3.55
18,256,4.28
18,512,5.08
18,1024,6.59
18,2048,9.40
18,4096,13.91
18,8192,23.40
18,16384,42.39
18,32768,69.73
18,65536,135.58
18,131072,336.46
18,262144,690.07
18,524288,1448.62
18,1048576,3917.56
20,2,2.36
20,4,2.41
20,8,2.86
20,16,2.66
20,32,2.88
20,64,3.56
20,128,3.69
20,256,4.35
20,512,5.09
20,1024,6.79
20,2048,9.55
20,4096,14.70
20,8192,24.67
20,16384,43.34
20,32768,73.35
20,65536,138.85
20,131072,393.69
20,262144,854.75
20,524288,1671.96
20,1048576,4140.38
22,2,2.27
22,4,2.28
22,8,2.60
22,16,2.51
22,32,2.72
22,64,3.43
22,128,3.60
22,256,4.14
22,512,5.16
22,1024,6.73
22,2048,9.81
22,4096,15.46
22,8192,25.63
22,16384,47.38
22,32768,76.98
22,65536,138.67
22,131072,389.74
22,262144,842.27
22,524288,1894.90
22,1048576,4550.80
24,2,2.21
24,4,2.32
24,8,2.40
24,16,2.69
24,32,2.82
24,64,3.47
24,128,3.74
24,256,4.36
24,512,5.44
24,1024,7.24
24,2048,10.55
24,4096,16.52
24,8192,27.61
24,16384,50.85
24,32768,76.33
24,65536,164.79
24,131072,453.88
24,262144,931.61
24,524288,2176.91
24,1048576,5582.05
26,2,2.24
26,4,2.68
26,8,2.30
26,16,2.65
26,32,2.78
26,64,3.43
26,128,3.73
26,256,4.36
26,512,5.42
26,1024,7.59
26,2048,11.31
26,4096,17.02
26,8192,29.79
26,16384,53.65
26,32768,81.66
26,65536,182.02
26,131072,499.18
26,262144,1013.97
26,524288,2471.21
26,1048576,6056.21
28,2,2.21
28,4,2.73
28,8,2.32
28,16,2.76
28,32,2.93
28,64,3.53
28,128,3.84
28,256,4.59
28,512,5.72
28,1024,8.00
28,2048,12.01
28,4096,18.62
28,8192,31.62
28,16384,58.55
28,32768,97.08
28,65536,212.91
28,131072,557.32
28,262144,1163.70
28,524288,2744.59
28,1048576,6753.43
30,2,2.08
30,4,2.74
30,8,2.32
30,16,2.61
30,32,2.77
30,64,3.53
30,128,3.81
30,256,4.75
30,512,6.01
30,1024,8.42
30,2048,12.28
30,4096,19.55
30,8192,34.60
30,16384,65.19
30,32768,108.98
30,65536,243.42
30,131072,607.22
30,262144,1319.14
30,524288,3258.51
30,1048576,7640.45
32,2,2.34
32,4,2.38
32,8,2.52
32,16,2.70
32,32,2.89
32,64,3.73
32,128,4.15
32,256,5.03
32,512,6.51
32,1024,9.04
32,2048,13.99
32,4096,21.64
32,8192,38.53
32,16384,62.82
32,32768,127.64
32,65536,273.45
32,131072,664.83
32,262144,1628.41
32,524288,4131.10
32,1048576,9387.97
34,2,2.89
34,4,3.52
34,8,3.02
34,16,3.20
34,32,3.45
34,64,4.40
34,128,4.61
34,256,5.66
34,512,7.31
34,1024,9.40
34,2048,13.94
34,4096,22.28
34,8192,38.55
34,16384,62.75
34,32768,124.15
34,65536,271.21
34,131072,673.02
34,262144,1575.38
34,524288,4106.95
34,1048576,9221.20
36,2,2.75
36,4,3.35
36,8,2.96
36,16,3.14
36,32,3.34
36,64,4.14
36,128,4.51
36,256,5.42
36,512,6.87
36,1024,9.64
36,2048,14.12
36,4096,22.63
36,8192,40.17
36,16384,65.65
36,32768,129.06
36,65536,269.34
36,131072,710.27
36,262144,1670.46
36,524288,4300.74
