Processes,Size,Latency
46,2,4.20
46,4,4.27
46,8,4.37
46,16,4.32
46,32,4.54
46,64,4.72
46,128,7.00
46,256,7.90
46,512,8.93
46,1024,11.34
46,2048,15.76
46,4096,23.37
46,8192,37.80
46,16384,64.14
46,32768,132.28
46,65536,284.66
46,131072,651.37
46,262144,632.11
46,524288,1144.89
46,1048576,2523.21
48,2,4.53
48,4,4.61
48,8,4.49
48,16,4.47
48,32,4.89
48,64,5.13
48,128,7.47
48,256,8.31
48,512,9.45
48,1024,12.24
48,2048,17.18
48,4096,24.57
48,8192,39.21
48,16384,68.82
48,32768,144.68
48,65536,306.10
48,131072,690.80
48,262144,664.13
48,524288,1187.43
48,1048576,2657.92
