Processes,Latency
2,0.20
4,0.20
6,0.32
8,0.76
10,0.87
12,0.94
14,1.03
16,1.80
18,2.32
20,2.56
22,2.56
24,2.92
26,2.94
28,3.09
30,3.19
32,3.80
34,5.39
36,5.30
38,4.80
40,4.52
42,4.67
44,4.63
46,5.13
48,5.43
