Processes,Latency
2,1.03
4,0.38
6,0.54
8,1.96
10,2.03
12,2.16
14,2.05
16,2.36
18,2.68
20,2.82
22,2.68
24,2.82
26,2.85
28,3.06
30,3.08
32,3.42
34,4.04
36,4.42
38,4.04
40,4.36
42,4.37
44,4.32
46,4.56
48,4.57
