Processes,Size,Latency
2,2,1.01
2,4,1.03
2,8,1.02
2,16,1.03
2,32,1.05
2,64,1.27
2,128,1.12
2,256,1.24
2,512,1.36
2,1024,1.43
2,2048,1.79
2,4096,3.13
2,8192,3.97
2,16384,5.62
2,32768,9.15
2,65536,12.05
2,131072,21.28
2,262144,32.11
2,524288,53.29
2,1048576,95.95
4,2,0.37
4,4,0.36
4,8,0.35
4,16,0.35
4,32,0.53
4,64,0.71
4,128,0.79
4,256,1.13
4,512,1.22
4,1024,1.50
4,2048,2.15
4,4096,3.52
4,8192,5.02
4,16384,5.97
4,32768,9.79
4,65536,16.10
4,131072,30.05
4,262144,47.15
4,524288,86.43
4,1048576,165.72
6,2,0.76
6,4,0.75
6,8,0.74
6,16,0.77
6,32,0.83
6,64,1.10
6,128,1.02
6,256,1.34
6,512,1.46
6,1024,1.71
6,2048,2.41
6,4096,3.66
6,8192,5.55
6,16384,7.87
6,32768,13.63
6,65536,20.34
6,131072,35.96
6,262144,79.30
6,524288,143.54
6,1048576,277.78
8,2,1.38
8,4,1.40
8,8,1.37
8,16,1.48
8,32,1.51
8,64,1.64
8,128,1.68
8,256,2.11
8,512,2.28
8,1024,2.62
8,2048,3.55
8,4096,5.31
8,8192,7.29
8,16384,10.59
8,32768,17.28
8,65536,27.72
8,131072,49.66
8,262144,132.68
8,524288,261.63
8,1048576,527.26
10,2,2.34
10,4,2.60
10,8,2.38
10,16,2.34
10,32,2.48
10,64,2.81
10,128,2.87
10,256,3.32
10,512,3.46
10,1024,4.01
10,2048,5.10
10,4096,6.84
10,8192,9.70
10,16384,14.52
10,32768,20.97
10,65536,39.83
10,131072,68.35
10,262144,139.30
10,524288,246.29
10,1048576,491.33
12,2,2.48
12,4,2.80
12,8,2.51
12,16,2.47
12,32,2.61
12,64,3.06
12,128,3.03
12,256,3.48
12,512,3.70
12,1024,4.36
12,2048,5.55
12,4096,7.47
12,8192,10.44
12,16384,14.34
12,32768,20.16
12,65536,31.75
12,131072,54.90
12,262144,126.72
12,524288,224.65
12,1048576,417.47
14,2,2.11
14,4,2.60
14,8,2.16
14,16,2.18
14,32,2.28
14,64,2.99
14,128,2.59
14,256,3.24
14,512,3.52
14,1024,3.94
14,2048,5.42
14,4096,7.76
14,8192,10.96
14,16384,15.35
14,32768,22.65
14,65536,36.37
14,131072,63.31
14,262144,177.25
14,524288,338.68
14,1048576,660.05
16,2,2.53
16,4,3.25
16,8,2.51
16,16,2.55
16,32,2.59
16,64,3.39
16,128,3.04
16,256,3.76
16,512,4.10
16,1024,4.71
16,2048,6.36
16,4096,8.83
16,8192,12.72
16,16384,18.24
16,32768,27.35
16,65536,43.29
16,131072,76.43
16,262144,230.86
16,524288,460.65
16,1048576,945.27
18,2,3.55
18,4,3.38
18,8,3.44
18,16,3.37
18,32,3.54
18,64,4.19
18,128,4.52
18,256,5.17
18,512,5.72
18,1024,6.57
18,2048,8.75
18,4096,11.55
18,8192,16.48
18,16384,20.06
18,32768,29.08
18,65536,51.43
18,131072,89.15
18,262144,218.93
18,524288,399.40
18,1048576,717.08
20,2,4.44
20,4,3.94
20,8,3.98
20,16,3.95
20,32,4.08
20,64,4.92
20,128,4.96
20,256,5.76
20,512,6.17
20,1024,7.29
20,2048,9.26
20,4096,12.46
20,8192,17.25
20,16384,22.99
20,32768,30.85
20,65536,47.07
20,131072,101.95
20,262144,188.44
20,524288,352.16
20,1048576,649.57
22,2,4.19
22,4,3.40
22,8,3.39
22,16,3.39
22,32,3.52
22,64,4.37
22,128,4.16
22,256,5.11
22,512,5.59
22,1024,6.48
22,2048,8.58
22,4096,11.87
22,8192,16.53
22,16384,23.51
22,32768,33.34
22,65536,52.25
22,131072,127.28
22,262144,266.65
22,524288,513.85
22,1048576,982.49
24,2,4.01
24,4,3.94
24,8,3.85
24,16,3.90
24,32,3.99
24,64,4.76
24,128,4.56
24,256,5.61
24,512,6.10
