Processes,Latency
2,0.60
4,0.97
6,1.29
8,1.32
10,1.88
12,1.69
14,1.68
16,1.66
18,2.24
20,2.03
22,2.09
24,2.46
26,2.41
28,2.25
30,2.34
32,2.37
34,4.52
36,4.36
38,4.05
40,3.97
42,3.86
44,3.66
46,3.69
48,3.87
