Processes,Latency
2,0.40
4,0.42
6,0.70
8,0.98
10,1.36
12,1.62
14,1.39
16,1.63
18,2.22
20,2.16
22,2.23
24,2.41
26,2.43
28,2.51
30,3.11
32,3.65
34,5.10
36,5.14
38,4.92
40,4.92
42,4.84
44,4.71
46,4.73
48,4.72
