Processes,Size,Latency
2,2,0.21
2,4,0.20
2,8,0.21
2,16,0.22
2,32,0.27
2,64,0.26
2,128,0.32
2,256,0.34
2,512,0.37
2,1024,0.45
2,2048,0.61
2,4096,0.90
2,8192,1.62
2,16384,3.61
2,32768,6.43
2,65536,9.57
2,131072,15.08
2,262144,25.03
2,524288,48.33
2,1048576,111.88
4,2,0.22
4,4,0.21
4,8,0.21
4,16,0.22
4,32,0.30
4,64,0.29
4,128,0.44
4,256,0.50
4,512,0.53
4,1024,0.76
4,2048,1.09
4,4096,1.78
4,8192,2.84
4,16384,5.11
4,32768,8.69
4,65536,12.61
4,131072,19.09
4,262144,51.49
4,524288,118.75
4,1048576,165.30
6,2,0.32
6,4,0.32
6,8,0.34
6,16,0.34
6,32,0.47
6,64,0.39
6,128,0.69
6,256,0.72
6,512,0.82
6,1024,1.08
6,2048,1.59
6,4096,2.47
6,8192,3.96
6,16384,5.87
6,32768,10.98
6,65536,21.09
6,131072,43.81
6,262144,89.46
6,524288,137.90
6,1048576,190.78
8,2,0.66
8,4,0.64
8,8,0.64
8,16,0.67
8,32,0.84
8,64,0.79
8,128,1.33
8,256,1.34
8,512,1.35
8,1024,1.80
8,2048,2.40
8,4096,3.50
8,8192,5.43
8,16384,7.22
8,32768,13.16
8,65536,27.52
8,131072,39.75
8,262144,82.34
8,524288,151.70
8,1048576,212.81
10,2,0.87
10,4,0.93
10,8,0.88
10,16,0.85
10,32,1.04
10,64,0.99
10,128,1.57
10,256,1.73
10,512,1.71
10,1024,2.34
10,2048,2.94
10,4096,4.23
10,8192,6.76
10,16384,8.76
10,32768,13.45
10,65536,34.36
10,131072,54.22
10,262144,117.11
10,524288,151.52
10,1048576,226.41
12,2,0.90
12,4,0.87
12,8,0.85
12,16,0.93
12,32,1.16
12,64,1.06
12,128,1.94
12,256,1.87
12,512,1.98
12,1024,2.75
12,2048,3.39
12,4096,4.89
12,8192,7.42
12,16384,9.74
12,32768,18.00
12,65536,30.01
12,131072,57.94
12,262144,100.67
12,524288,154.46
12,1048576,278.22
14,2,0.92
14,4,0.92
14,8,0.94
14,16,0.95
14,32,1.22
14,64,1.11
14,128,2.10
14,256,2.18
14,512,2.31
14,1024,3.33
14,2048,4.05
14,4096,5.87
14,8192,9.05
14,16384,11.91
14,32768,24.31
14,65536,53.14
14,131072,111.47
14,262144,115.06
14,524288,179.64
14,1048576,271.69
16,2,1.61
16,4,1.60
16,8,1.58
16,16,1.63
16,32,1.78
16,64,1.71
16,128,3.38
16,256,3.35
16,512,3.73
16,1024,4.78
16,2048,5.74
16,4096,7.85
16,8192,11.79
16,16384,13.61
16,32768,30.23
16,65536,66.17
16,131072,91.12
16,262144,163.83
16,524288,222.34
16,1048576,276.53
18,2,2.21
18,4,2.28
18,8,2.40
18,16,2.31
18,32,2.60
18,64,2.50
18,128,3.89
18,256,3.95
18,512,4.38
18,1024,5.81
18,2048,6.84
18,4096,9.37
18,8192,14.01
18,16384,18.30
18,32768,32.69
18,65536,74.23
18,131072,84.53
18,262144,156.05
18,524288,180.14
18,1048576,295.56
20,2,2.37
20,4,2.44
20,8,2.52
20,16,2.34
20,32,2.75
20,64,2.68
20,128,4.60
20,256,4.75
20,512,5.30
20,1024,6.79
20,2048,8.13
20,4096,11.12
20,8192,16.44
20,16384,17.57
20,32768,38.01
20,65536,58.83
20,131072,97.88
20,262144,138.59
20,524288,209.24
20,1048576,325.98
22,2,2.44
22,4,2.39
22,8,2.51
22,16,2.44
22,32,2.81
22,64,2.75
22,128,5.28
22,256,5.33
22,512,5.95
22,1024,7.66
22,2048,9.26
22,4096,12.56
22,8192,18.69
22,16384,18.92
22,32768,28.67
22,65536,59.50
22,131072,132.50
22,262144,128.01
22,524288,246.10
22,1048576,312.82
24,2,2.71
24,4,2.73
24,8,2.61
24,16,2.64
24,32,3.35
24,64,3.02
24,128,5.86
24,256,6.06
24,512,6.77
24,1024,8.70
24,2048,10.57
24,4096,14.29
24,8192,21.42
24,16384,19.55
24,32768,41.83
24,65536,104.31
24,131072,108.25
24,262144,144.60
24,524288,229.09
24,1048576,304.13
26,2,2.42
26,4,2.34
26,8,2.37
26,16,2.32
26,32,2.90
26,64,3.15
26,128,5.92
26,256,6.15
26,512,6.96
26,1024,9.04
26,2048,11.08
26,4096,15.32
26,8192,23.76
26,16384,18.59
26,32768,40.02
26,65536,76.94
26,131072,100.79
26,262144,185.93
26,524288,218.86
26,1048576,309.13
28,2,2.55
28,4,2.39
28,8,2.63
28,16,2.49
28,32,3.09
28,64,2.93
28,128,6.33
28,256,6.48
28,512,7.60
28,1024,9.77
28,2048,12.27
28,4096,16.64
28,8192,25.13
28,16384,19.31
28,32768,40.48
28,65536,91.96
28,131072,93.28
28,262144,137.94
28,524288,220.97
28,1048576,326.35
30,2,3.02
30,4,2.68
30,8,2.75
30,16,2.79
30,32,3.39
30,64,3.54
30,128,7.03
30,256,7.24
30,512,8.28
30,1024,10.65
30,2048,13.17
30,4096,18.20
30,8192,27.23
30,16384,19.30
30,32768,28.18
30,65536,63.55
30,131072,97.67
30,262144,142.20
30,524288,234.46
30,1048576,391.52
32,2,3.31
32,4,3.40
32,8,3.28
32,16,3.35
32,32,3.78
32,64,3.70
32,128,7.66
32,256,8.00
32,512,9.21
32,1024,11.75
32,2048,14.38
32,4096,19.70
32,8192,29.39
32,16384,18.65
32,32768,33.40
32,65536,60.32
32,131072,119.96
32,262144,195.06
32,524288,266.80
32,1048576,449.29
34,2,5.19
34,4,4.78
34,8,4.92
34,16,4.83
34,32,5.41
34,64,5.07
34,128,8.92
34,256,9.24
34,512,10.51
34,1024,13.09
34,2048,15.78
34,4096,21.46
34,8192,31.98
34,16384,22.09
34,32768,40.54
34,65536,63.56
34,131072,123.44
34,262144,178.14
34,524288,265.58
34,1048576,524.38
36,2,4.82
36,4,4.69
36,8,4.65
36,16,4.72
36,32,5.17
36,64,5.07
36,128,9.03
36,256,9.35
36,512,10.51
36,1024,13.35
36,2048,16.30
36,4096,22.03
36,8192,32.77
36,16384,21.98
36,32768,37.20
36,65536,71.52
36,131072,123.57
36,262144,196.70
36,524288,323.56
36,1048576,605.30
38,2,4.58
38,4,4.24
38,8,4.25
38,16,4.19
38,32,4.75
38,64,4.71
38,128,8.73
38,256,9.07
38,512,10.32
38,1024,13.30
38,2048,16.41
38,4096,22.82
38,8192,34.15
38,16384,23.24
38,32768,34.08
38,65536,72.84
38,131072,126.03
38,262144,209.00
38,524288,367.77
38,1048576,706.87
40,2,4.55
40,4,4.34
40,8,4.22
40,16,4.27
40,32,4.80
40,64,4.77
40,128,8.86
40,256,9.39
40,512,10.44
40,1024,13.64
40,2048,16.90
40,4096,23.76
40,8192,35.49
40,16384,24.29
40,32768,39.24
40,65536,67.09
40,131072,149.31
40,262144,230.49
40,524288,420.90
40,1048576,817.08
42,2,4.75
42,4,4.39
42,8,4.39
42,16,4.38
42,32,4.87
42,64,4.85
42,128,9.24
42,256,9.77
42,512,10.77
42,1024,14.13
42,2048,18.08
42,4096,24.46
42,8192,36.94
42,16384,23.78
42,32768,37.17
42,65536,69.34
42,131072,164.06
42,262144,257.78
42,524288,483.98
42,1048576,912.51
44,2,4.68
44,4,4.46
44,8,4.39
44,16,4.46
44,32,5.12
44,64,4.89
44,128,9.50
44,256,9.96
44,512,11.22
44,1024,14.45
44,2048,18.62
44,4096,25.42
44,8192,38.22
44,16384,25.24
44,32768,40.83
44,65536,73.02
44,131072,165.84
44,262144,304.47
44,524288,510.39
44,1048576,1038.41
46,2,5.07
46,4,4.67
46,8,4.62
46,16,4.83
46,32,5.15
46,64,5.23
46,128,10.17
46,256,10.62
46,512,11.73
46,1024,15.16
46,2048,19.63
46,4096,26.77
46,8192,40.07
46,16384,25.75
46,32768,45.82
46,65536,76.24
46,131072,183.33
46,262144,315.60
46,524288,596.64
46,1048576,1156.76
48,2,5.05
48,4,5.01
48,8,4.96
48,16,4.96
48,32,5.36
48,64,5.62
48,128,10.44
48,256,10.88
48,512,12.38
48,1024,15.68
48,2048,20.20
48,4096,28.10
48,8192,41.27
48,16384,26.83
48,32768,45.60
48,65536,82.07
48,131072,196.56
48,262144,347.97
48,524288,658.87
48,1048576,1278.22
